          100     10.98000      0.00000
      0.11339     23.78646     23.77967      0.03000
      0.22678     27.57293     27.55933      0.03000
      0.34017     31.35939     31.33900      0.03000
      0.45356     35.14586     35.11867      0.03000
      0.56695     38.93232     38.89834      0.03000
      0.68034     42.71878     42.67800      0.03000
      0.79373     46.50525     46.45767      0.03000
      0.90712     50.29172     50.23734      0.03000
      1.02051     54.07818     54.01701      0.03000
      1.13390     57.86464     57.79668      0.03000
      1.24729     62.64135     62.56718      0.03000
      1.36068     68.80219     68.72263      0.03000
      1.47407     74.96302     74.87808      0.03000
      1.58746     81.12387     81.03355      0.03000
      1.70085     87.26379     87.16808      0.03000
      1.81424     90.63576     90.53239      0.03000
      1.92763     94.00772     93.89671      0.03000
      2.04102     97.37968     97.26103      0.03000
      2.15441    100.75165    100.62534      0.03000
      2.26780    104.12360    103.98966      0.03000
      2.38119    107.49557    107.35398      0.03000
      2.49458    110.86754    110.71829      0.03000
      2.60797    114.18435    114.02721      0.03000
      2.72136    116.77171    116.60320      0.03000
      2.83475    119.35908    119.17918      0.03000
      2.94814    121.94644    121.75517      0.03000
      3.06153    125.63712    125.43555      0.03000
      3.17492    130.25771    130.04674      0.03000
      3.28831    134.87828    134.65793      0.03000
      3.40170    139.49887    139.26910      0.03000
      3.51509    148.14354    147.90424      0.03000
      3.62848    176.35686    176.10751      0.03000
      3.74187    184.75627    184.49841      0.03000
      3.85526    214.99754    214.73125      0.03000
      3.96865    227.17630    226.90173      0.03000
      4.08204    231.87321    231.58614      0.03000
      4.19543    233.71107    233.40982      0.03000
      4.30882    235.54892    235.23352      0.03000
      4.42221    237.38675    237.05721      0.03000
      4.53560    239.22461    238.88089      0.03000
      4.64899    241.06245    240.70459      0.03000
      4.76238    242.90028    242.52827      0.03000
      4.87577    244.73813    244.35194      0.03000
      4.98916    246.57596    246.17566      0.03000
      5.10255    248.41380    247.99933      0.03000
      5.21594    250.25166    249.82303      0.03000
      5.32933    252.08949    251.64671      0.03000
      5.44272    253.92734    253.47040      0.03000
      5.55611    255.76517    255.29408      0.03000
      5.66950    256.88477    256.38354      0.03000
      5.78289    257.55075    257.00925      0.03000
      5.89628    258.21677    257.63501      0.03000
      6.00967    258.88275    258.26074      0.03000
      6.12306    259.54877    258.88651      0.03000
      6.23645    260.21475    259.51224      0.03000
      6.34984    260.79156    260.04208      0.03000
      6.46323    261.31546    260.51318      0.03000
      6.57662    261.78513    260.92331      0.03000
      6.69001    262.25476    261.33340      0.03000
      6.80340    262.72443    261.74350      0.03000
      6.91679    263.19406    262.15363      0.03000
      7.03018    263.66370    262.56372      0.03000
      7.14357    264.13336    262.97382      0.03000
      7.25696    264.68121    263.46686      0.03000
      7.37035    265.33984    264.07718      0.03000
      7.48374    265.99841    264.68750      0.03000
      7.59713    266.65698    265.29782      0.03000
      7.71052    267.31561    265.90814      0.03000
      7.82391    269.09085    267.65274      0.03000
      7.93730    271.07968    269.61383      0.03000
      8.05069    273.06854    271.57489      0.03000
      8.16408    275.05734    273.53598      0.03000
      8.27747    277.04620    275.49707      0.03000
      8.39086    279.03500    277.45810      0.03000
      8.50425    280.58414    278.97818      0.03000
      8.61764    282.12830    280.49371      0.03000
      8.73103    283.77658    282.12006      0.03000
      8.84442    285.42487    283.74646      0.03000
      8.95781    286.30499    284.59613      0.03000
      9.07120    287.16724    285.42773      0.03000
      9.18459    288.02948    286.25934      0.03000
      9.29798    288.89215    287.09140      0.03000
      9.41137    289.75500    287.92361      0.03000
      9.52476    290.61783    288.75583      0.03000
      9.63815    291.48065    289.58807      0.03000
      9.75154    292.34351    290.42029      0.03000
      9.86493    293.10422    291.14212      0.03000
      9.97832    293.58014    291.55438      0.03000
     10.09171    294.05612    291.96664      0.03000
     10.20510    294.53210    292.37891      0.03000
     10.31849    295.00803    292.79117      0.03000
     10.43188    295.48401    293.20340      0.03000
     10.54527    295.95996    293.61572      0.03000
     10.65866    296.41815    294.00806      0.03000
     10.77205    297.00330    294.53973      0.03000
     10.88544    297.64444    295.13315      0.03000
     10.99883    298.13962    295.58588      0.03000
     11.11222    298.35455    295.76846      0.03000
     11.22561    298.56949    295.95105      0.03000
     11.33900    300.62881    298.00000      0.03000
