2023/08/01 19:56:25　雨量データ変換プログラム Console Start!
2023/08/01 19:56:26　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\09\30\Z__C_RJTD_20220930150000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:26　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\09\30\Z__C_RJTD_20220930153000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:26　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\09\30\Z__C_RJTD_20220930160000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:26　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\09\30\Z__C_RJTD_20220930163000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:26　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\09\30\Z__C_RJTD_20220930170000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:26　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\09\30\Z__C_RJTD_20220930173000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:26　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\09\30\Z__C_RJTD_20220930180000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:26　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\09\30\Z__C_RJTD_20220930183000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:26　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\09\30\Z__C_RJTD_20220930190000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:26　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\09\30\Z__C_RJTD_20220930193000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:26　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\09\30\Z__C_RJTD_20220930200000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:26　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\09\30\Z__C_RJTD_20220930203000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:26　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\09\30\Z__C_RJTD_20220930210000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:27　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\09\30\Z__C_RJTD_20220930213000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:27　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\09\30\Z__C_RJTD_20220930220000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
