9,Hpaan,Kawkayeit,Thaton,Mawlamyine,Yay,Mudon,Kyeikkhame,Belin,Thieinzayet
lat,16.912148,16.55,16.931257,16.5,15.247048,16.23333333,16.08333333,17.21666667,17.517583
lon,97.639158,98.25,97.381868,97.61666667,97.855761,97.71666667,97.56666667,97.23333333,96.880424
2013/4/1 9:00,0,0,0,0,0,0,0,0,0
2013/4/2 9:00,0,0,0,0,0,0,0,0,0
2013/4/3 9:00,0,0,0,0,0,0,0,0,0
2013/4/4 9:00,0,0,0,0,0,0,0,0,0
2013/4/5 9:00,0,0,0,0,0,0,0,0,0
2013/4/6 9:00,0,0,0,0,0,0,0,0,0
2013/4/7 9:00,0,0,7,0,2,4,0,0,0
2013/4/8 9:00,0,0,0,0,0,7,0,0,0
2013/4/9 9:00,0,0,0,0,0,0,0,0,0
2013/4/10 9:00,0,0,0,0,0,0,0,0,0
2013/4/11 9:00,0,0,0,0,0,0,0,0,0
2013/4/12 9:00,0,0,0,0,0,0,0,0,0
2013/4/13 9:00,0,0,0,0,0,0,0,0,0
2013/4/14 9:00,0,21,0,0,0,0,0,0,0
2013/4/15 9:00,0,0,0,0,2,0,0,0,0
2013/4/16 9:00,8,0,0,0,10,11,0,0,0
2013/4/17 9:00,7,0,0,25,0,22,6,0,0
2013/4/18 9:00,0,14,2,1,47,9,8,0,0
2013/4/19 9:00,0,0,0,0,7,0,0,0,0
2013/4/20 9:00,0,0,1,0,0,0,0,0,0
2013/4/21 9:00,0,0,0,0,0,0,0,0,0
2013/4/22 9:00,0,0,0,0,0,0,0,0,0
2013/4/23 9:00,0,0,0,11,0,0,0,0,0
2013/4/24 9:00,0,0,0,0,0,0,11,0,0
2013/4/25 9:00,0,56,0,0,0,0,0,0,0
2013/4/26 9:00,3,0,0,0,0,0,0,0,0
2013/4/27 9:00,0,0,0,0,0,3,0,0,0
2013/4/28 9:00,0,0,0,0,0,0,0,0,0
2013/4/29 9:00,0,0,0,0,0,0,0,0,0
2013/4/30 9:00,0,0,0,0,0,0,0,0,0
2013/5/1 9:00,0,0,0,0,0,0,0,0,0
2013/5/2 9:00,3,13,9,4,0,16,0,0,0
2013/5/3 9:00,0,0,0,7,0,2,0,0,0
2013/5/4 9:00,0,0,2,0,0,0,0,0,0
2013/5/5 9:00,0,0,0,0,5,0,0,0,0
2013/5/6 9:00,17,15,0,0,0,55,92,0,1
2013/5/7 9:00,31,0,32,1,0,2,0,38,0
2013/5/8 9:00,0,0,0,0,0,0,0,3,10
2013/5/9 9:00,0,4,18,20,0,10,0,1,0
2013/5/10 9:00,0,0,0,18,0,0,0,0,1
2013/5/11 9:00,55,0,0,24,0,0,2,1,0
2013/5/12 9:00,0,0,29,0,0,0,0,0,0
2013/5/13 9:00,1,0,56,0,12,0,4,26,3
