kp,depth_m,equivalent_width_m,top_width_m,area_m2,thalweg_m,bank_elevation_m,survey_year,source_file
1.5,13.760000000000002,283.12055340193876,636.7322226429383,3895.738814810678,-10.8,2.96,R03,WZAA4004.CSV
2.0,11.15,205.5957757847534,466.02,2292.3929000000007,-10.34,0.81,R03,WZAA4005.CSV
2.5,10.94,199.82872556602447,304.23307692307696,2186.1262576923077,-9.83,1.11,R03,WZAA4006.CSV
3.0,12.53,199.85812301026988,424.6604395604395,2504.2222813186813,-11.08,1.45,R03,WZAA4007.CSV
3.5,14.95,152.64316653824986,442.5831012658228,2282.0153397468353,-13.85,1.1,R03,WZAA4008.CSV
4.0,16.74,181.80234291669848,514.2052340425532,3043.371220425532,-14.29,2.45,R03,WZAA4009.CSV
4.5,15.31,220.65858749339057,564.7530952380953,3378.2829745238096,-12.73,2.58,R03,WZAA4010.CSV
5.0,16.36,215.8928740831296,690.0989999999999,3532.0074200000004,-13.71,2.65,R03,WZAA4011.CSV
5.5,12.68,246.42544001720057,480.57976293103445,3124.6745794181033,-10.37,2.31,R03,WZAA4013.CSV
6.0,11.35,186.61349258587424,423.46797385620914,2118.0631408496724,-10.57,0.78,R03,WZAA4014.CSV
6.5,16.29,160.03603857156423,375.51944869831544,2606.9870683307813,-15.4,0.89,R03,WZAA4015.CSV
7.0,13.5,183.03050874572784,405.35208804143133,2470.911868067326,-12.62,0.88,R03,WZAA4016.CSV
7.5,9.25,269.84265520140195,412.4055977710233,2496.044560612968,-8.27,0.98,R03,WZAA4017.CSV
8.0,7.83,349.725818377361,709.957894736842,2738.353157894737,-6.92,0.91,R03,WZAA4018.CSV
8.5,7.359999999999999,386.66634107347176,865.633909774436,2845.8642703007517,-6.17,1.19,R03,WZAA4019.CSV
9.0,6.34,378.3027774852779,532.8851893408134,2398.4396092566617,-5.16,1.18,R03,WZAA4020.CSV
9.5,7.62,395.1590865132243,659.1311538461539,3011.112239230769,-5.2,2.42,R03,WZAA4021.CSV
10.0,7.59,375.264615942029,529.645,2848.258435,-5.24,2.35,R03,WZAA4022.CSV
10.5,8.370000000000001,370.8296344086021,679.66,3103.84404,-5.78,2.59,R03,WZAA4023.CSV
11.0,7.779999999999999,321.1843576622896,552.1461261261261,2498.8143026126127,-6.05,1.73,R03,WZAA4024.CSV
11.5,7.62,333.23586589096743,456.6956050955414,2539.257298089172,-5.78,1.84,R03,WZAA4025.CSV
12.0,7.32,337.0239445515911,431.5291764705882,2467.015274117647,-5.57,1.75,R03,WZAA4026.CSV
12.5,6.84,351.5074342105263,452.18499999999995,2404.31085,-5.16,1.68,R03,WZAA4027.CSV
13.0,6.239999999999999,396.34026069297096,538.6382758620689,2473.1632267241384,-4.56,1.68,R03,WZAA4028.CSV
13.5,7.31,338.983009108598,554.842049689441,2477.9657965838514,-5.52,1.79,R03,WZAA4029.CSV
14.0,7.48,332.9364619469249,455.1718969555035,2490.3647353629985,-5.78,1.7,R03,WZAA4030.CSV
14.5,8.76,327.835548705974,481.46610877684407,2871.8394066643323,-6.51,2.25,R03,WZAA4031.CSV
15.0,8.559999999999999,354.5907699864388,468.9046153846154,3035.2969910839156,-5.52,3.04,R03,WZAA4033.CSV
15.5,7.140000000000001,358.026089019162,554.8920424403184,2556.3062755968167,-5.4,1.74,R03,WZAA4035.CSV
16.0,7.5200000000000005,341.9315984042552,458.89200000000005,2571.3256199999996,-5.19,2.33,R03,WZAA4036.CSV
16.5,8.26,312.7741840773658,429.2131736526946,2583.514760479042,-5.84,2.42,R03,WZAA4037.CSV
17.0,9.01,285.69980308617664,448.8516129032258,2574.1552258064517,-6.48,2.53,R03,WZAA4038.CSV
17.5,9.69,282.682847888085,505.2301025290499,2739.1967960355437,-7.01,2.68,R03,WZAA4039.CSV
18.0,8.64,423.4745742669753,694.8133333333333,3658.820321666667,-5.52,3.12,R03,WZAA4040.CSV
18.5,10.04,285.0555217591174,628.593076923077,2861.9574384615385,-6.68,3.36,R03,WZAA4041.CSV
19.0,12.24,213.39970689354243,470.61359588699213,2612.012412376959,-9.06,3.18,R03,WZAA4042.CSV
19.5,10.29,259.5879961229605,506.0216210526316,2671.160480105263,-7.1,3.19,R03,WZAA4043.CSV
20.0,7.85,308.95916452719257,455.67730769230764,2425.3294415384617,-4.96,2.89,R03,WZAA4044.CSV
20.5,7.359999999999999,344.95947518762944,501.24404761904765,2538.9017373809525,-4.1,3.26,R03,WZAA4045.CSV
21.0,7.95,281.01280611142874,411.32373737373746,2234.0518085858585,-5.32,2.63,R03,WZAA4046.CSV
21.5,10.29,263.60562113074894,609.6886602870813,2712.5018414354063,-6.42,3.87,R03,WZAA4047.CSV
22.0,7.95,337.93089241919756,498.0583422459893,2686.5505947326205,-4.03,3.92,R03,WZAA4048.CSV
22.5,10.760000000000002,266.85980593415763,487.94444539249145,2871.4115118515365,-6.19,4.57,R03,WZAA4049.CSV
23.0,9.07,297.17104924758183,572.4387983978637,2695.3414166755674,-5.4,3.67,R03,WZAA4050.CSV
23.5,10.27,265.4300346786497,486.3750802139037,2725.966456149732,-6.49,3.78,R03,WZAA4052.CSV
24.0,9.65,320.41619929464014,589.2981680672268,3092.0163231932775,-5.07,4.58,R03,WZAA4053.CSV
24.5,10.39,281.56699806061914,620.2074527252504,2925.481109849833,-6.14,4.25,R03,WZAA4054.CSV
25.0,10.3,244.74224435127977,492.9652272727273,2520.845116818182,-5.98,4.32,R03,WZAA4055.CSV
25.5,7.800000000000001,374.9842051282051,524.46,2924.8768,-3.39,4.41,R03,WZAA4056.CSV
26.0,9.0,272.8420901309271,438.44130573248407,2455.578811178344,-4.89,4.11,R03,WZAA4057.CSV
26.5,10.120000000000001,288.8344013504612,462.50333333333333,2923.0041416666672,-5.39,4.73,R03,WZAA4058.CSV
27.0,10.88,340.8877213103992,593.6152380952382,3708.858407857143,-4.48,6.4,R03,WZAA4060.CSV
27.5,9.81,360.5737729500417,546.1834821933296,3537.228712639909,-3.81,6.0,R03,WZAA4061.CSV
28.0,8.530000000000001,214.48918656466284,358.6256587615283,1829.5927613965744,-5.4,3.13,R03,WZAA4062.CSV
28.5,7.58,281.2947942587445,569.8557040998218,2132.214540481283,-3.67,3.91,R03,WZAA4063.CSV
29.0,7.84,300.6133507524222,519.3873737373738,2356.80866989899,-3.99,3.85,R03,WZAA4064.CSV
29.5,6.49,318.1421988743366,497.3673611111111,2064.7428706944447,-3.25,3.24,R03,WZAA4065.CSV
30.0,6.720000000000001,316.4903849573258,471.63300142247505,2126.8153869132293,-3.24,3.48,R03,WZAA4066.CSV
30.5,6.64,382.2344080583417,599.6303940886698,2538.036469507389,-2.13,4.51,R03,WZAA4068.CSV
31.0,7.6899999999999995,201.0711125757908,252.17507530120486,1546.2368557078312,-3.84,3.85,R03,WZAA4069.CSV
31.5,10.870000000000001,155.24353025532093,264.9443360433604,1687.4971738753388,-5.82,5.05,R03,WZAA4070.CSV
32.0,11.07,159.82870545212728,248.59097133550483,1769.303769355049,-6.05,5.02,R03,WZAA4071.CSV
32.5,12.879999999999999,126.30422737640208,388.20202686202686,1626.7984486080586,-8.17,4.71,R03,WZAA4072.CSV
33.0,9.870000000000001,202.28179584599798,338.18600000000004,1996.5213250000002,-4.3,5.57,R03,WZAA4073.CSV
33.5,9.44,194.79697151506969,254.34966799468793,1838.8834111022577,-4.17,5.27,R03,WZAA4074.CSV
34.0,10.31,202.92728059955056,332.4622360248447,2092.1802629813665,-4.48,5.83,R03,WZAA4075.CSV
34.5,8.78,244.51814306991417,356.2938461538461,2146.8692961538463,-2.73,6.05,R03,WZAA4076.CSV
35.0,7.37,226.92898326549076,274.5129166666667,1672.4666066666668,-2.74,4.63,R03,WZAA4077.CSV
35.5,7.3100000000000005,181.726650064436,253.498419666374,1328.4218119710272,-3.58,3.73,R03,WZAA4078.CSV
36.0,11.2,188.739300974026,423.10227272727275,2113.8801709090912,-5.3,5.9,R03,WZAA4079.CSV
36.5,7.91,265.85503360314357,441.68398268398266,2102.913315800866,-2.37,5.54,R03,WZAA4080.CSV
37.0,8.129999999999999,250.6446620959872,424.2431924882628,2037.7411028403758,-2.76,5.37,R03,WZAA4081.CSV
37.5,8.09,248.80324670865463,421.04603174603176,2012.818265873016,-2.56,5.53,R03,WZAA4082.CSV
