8101030001,石狩川水系,石狩川,右岸
78.000,245.000,トイ沼上流樋門,13.280,20121101
79.000,312.000,ピラ沼樋門,14.480,20121101
80.000,87.000,突出樋門,14.080,20121101
82.000,385.000,浦臼第一揚水機場樋門,0.000,20121101
82.500,165.000,旧樺戸川樋門,14.810,20121101
83.500,447.000,樺戸川樋門,14.710,20121101
84.500,233.000,下徳富樋門,12.860,20121101
86.500,287.000,砂川橋下流樋門,17.370,20121101
87.500,90.000,砂川大橋,26.810,20121116
88.000,232.000,袋地樋門,16.650,20121101
90.000,375.000,弥生樋門,19.520,20121129
90.500,455.000,中徳富樋門,20.260,20121129
91.500,146.000,滝新橋,30.170,20121123
93.500,298.000,橋本樋門,22.400,20121129
93.500,425.000,石狩川橋,31.000,20121127
94.500,117.000,橋本町樋門,23.640,20121127
95.000,322.000,玉置樋門,22.690,20121127
97.000,125.000,平成橋,33.150,20121126
101.000,78.000,伏古二号樋門,29.680,20121127
101.000,451.000,戸田川樋門,27.200,20121127
102.500,253.000,南伏古樋門,26.290,20121127
105.500,203.000,江竜橋,39.370,20121130
