8101030001,石狩川水系,石狩川,左岸,
2.500,140.000,渡船場樋門,-1.000,20220317,
4.000,342.000,親船樋門（門柱レス樋門）,0.630,20220317,
4.500,367.000,赤井川樋門（門柱レス樋門）,1.380,20220317,
5.000,552.000,石狩河口橋,7.600,20220317,
14.000,295.000,石狩川導水樋門,-2.040,20220317,
14.000,460.000,札幌大橋,8.590,20220317,
14.500,110.000,あいの里樋門,0.570,20220317,
15.000,37.000,石狩川鉄道橋,9.860,20220317,
20.000,40.000,角山樋門,0.450,20220317,
23.000,280.000,新石狩大橋,9.770,20220317,
23.500,150.000,旧豊平川樋門,0.440,20220317,
26.500,1.000,江別下水道樋門,0.520,20220317,
26.500,38.000,石狩大橋,10.790,20220317,
26.500,320.000,北日本余水吐樋門,4.090,20220317,
29.500,409.000,越後村樋門,3.050,20220317,
30.000,410.000,美原大橋,12.430,20220317,
33.500,216.000,赤川樋門,2.420,20220317,
35.000,218.000,お茶の水排水機場樋門,0.330,20220317,
35.000,413.000,巴農場樋門,0.340,20220317,
