8101030001,石狩川水系,石狩川,右岸,
1.000,4.000,来札樋門（門柱レス樋門）,0.450,20220317,
3.000,170.000,北生振十号樋門,0.350,20220317,
4.500,400.000,北生振九号樋門,0.350,20220317,
5.000,70.000,石狩河口橋,6.700,20220317,
6.000,390.000,北生振八号樋門,1.610,20220317,
7.500,130.000,北生振七号樋門,-0.140,20220317,
8.000,175.000,北生振用水樋門,-1.270,20220317,
8.500,495.000,板倉樋門,2.860,20220317,
11.500,445.000,美登位排水機場樋門,-0.880,20220317,
13.500,270.000,南三号樋門,-0.130,20220317,
14.500,80.000,札幌大橋,8.610,20220317,
15.000,40.000,石狩川鉄道橋,9.350,20220317,
15.000,358.000,太美樋門,-0.030,20220317,
23.000,557.000,新石狩大橋,10.590,20220317,
26.500,114.000,石狩大橋,10.790,20220317,
30.000,377.000,美原大橋,12.830,20220317,
31.000,41.000,美原三六線樋門,0.790,20220317,
32.000,251.000,美原三七線樋門,2.750,20220317,
36.000,365.000,南美原揚水機場,-2.940,20220317,
38.000,207.000,篠津川上流樋門,1.150,20220317,
