8101030031,石狩川水系,豊平川,左岸
2.200,50.000,篠路樋門,0.930,20160225
6.000,110.000,新川幹線樋門,0.330,20160225
6.200,0.000,雁来排水機場樋門,-1.240,20160225
7.000,0.000,雁来大橋,10.130,20160225
8.800,145.000,豊水大橋,11.760,20160225
9.200,31.000,雁来第一号樋門,0.200,20160225
10.600,7.000,環状北大橋,12.740,20160225
10.600,77.000,雁来第二号樋門,1.720,20160225
10.800,107.000,第二水管橋,18.020,20160225
11.200,48.000,北十三条大橋,13.390,20160225
12.000,48.000,上白石橋,16.040,20160225
12.000,104.000,苗穂鉄道橋下流,14.340,20160225
12.000,118.000,苗穂鉄道橋上流,14.340,20160225
12.400,83.000,平和大橋,16.010,20160225
12.600,164.000,東橋下流左岸樋門,7.470,20160225
13.000,0.000,東橋,16.720,20160225
13.200,71.000,東橋公園樋門,10.650,20160225
13.400,78.000,一号床止,11.080,20160225
13.400,151.000,水穂大橋,18.350,20160225
14.000,100.000,南一条大橋下流,19.380,20160225
14.000,115.000,南一条大橋上流,19.380,20160225
14.200,118.000,電電大橋,21.230,20160225
14.400,34.000,豊平川水管橋,22.880,20160225
14.400,75.000,南三条樋門,14.900,20160225
14.400,185.000,三号床止,16.040,20160225
14.600,110.000,豊平橋,23.330,20160225
15.000,135.000,南七条大橋,26.760,20160225
15.200,71.000,四号床止,19.560,20160225
15.400,180.000,南大橋,28.750,20160225
15.800,148.000,五号床止,24.420,20160225
16.400,138.000,六号床止,26.660,20160225
16.400,164.000,七号床止,28.610,20160225
16.400,193.000,幌平橋,36.770,20160225
16.800,75.000,創成川取水樋門,30.790,20160225
17.000,198.000,南十九条大橋,40.250,20160225
17.200,190.000,八号床止,34.990,20160225
17.600,115.000,南二十二条大橋,42.900,20160225
18.800,212.000,ミュンヘン大橋下流左岸樋門,43.780,20160225
19.000,166.000,ミュンヘン大橋,54.380,20160225
19.400,65.000,南三十三条樋管,48.960,20160225
20.200,110.000,豊平川第十九号樋門,53.560,20160225
20.200,170.000,新藻岩橋,62.980,20160225
20.600,163.000,藻岩上の橋,65.230,20160225
