8101030031,石狩川水系,豊平川,右岸
1.200,40.000,上福移樋門,0.220,20160225
3.800,180.000,農場樋門,0.410,20160225
5.600,50.000,西角山樋門,0.680,20160225
6.400,113.000,厚別排水機場樋門,0.370,20160225
6.600,170.000,雁来大橋,9.250,20160225
8.800,158.000,米里中継ポンプ場樋門,2.100,20160225
9.000,27.000,豊水大橋,11.700,20160225
9.000,124.000,逆川樋門,1.790,20160225
10.600,18.000,環状北大橋,12.770,20160225
10.800,73.000,第二水管橋,18.140,20160225
11.000,1.000,米里樋門,2.250,20160225
11.000,49.000,小沼川樋門,0.300,20160225
11.200,63.000,北十三条大橋,13.370,20160225
11.600,34.000,菊水元町樋門,3.500,20160225
11.800,68.000,上白石橋,14.090,20160225
12.000,33.000,苗穂鉄道橋下流,14.340,20160225
12.000,46.000,苗穂鉄道橋上流,14.380,20160225
12.400,22.000,平和大橋,16.010,20160225
12.400,85.000,菊水上町樋門,6.320,20160225
13.000,0.000,東橋,16.740,20160225
13.000,109.000,菊水北町樋門,8.550,20160225
13.400,77.000,一号床止,11.100,20160225
13.400,132.000,水穂大橋,18.320,20160225
14.000,70.000,南一条大橋下流,19.360,20160225
14.000,83.000,南一条大橋上流,19.360,20160225
14.200,154.000,電電大橋,21.210,20160225
14.400,35.000,豊平川水管橋,22.940,20160225
14.400,70.000,河岸公園樋管,14.900,20160225
14.400,181.000,三号床止,0.000,20160225
14.600,108.000,豊平橋,23.320,20160225
15.000,102.000,南七条大橋,27.570,20160225
15.200,69.000,四号床止,19.660,20160225
15.400,126.000,南大橋,28.730,20160225
15.800,50.000,南大橋上流右岸樋門,22.660,20160225
15.800,135.000,五号床止,24.410,20160225
16.200,67.000,平岸一条樋管,26.770,20160225
16.400,65.000,精進川樋門,29.280,20160225
16.400,139.000,六号床止,26.670,20160225
16.400,165.000,七号床止,28.610,20160225
16.600,32.000,幌平橋,36.030,20160225
17.000,114.000,南十九条大橋,40.160,20160225
17.400,13.000,八号床止,35.010,20160225
17.800,2.000,南二十二条大橋,42.870,20160225
19.200,27.000,ミュンヘン大橋,55.050,20160225
19.600,75.000,岡本地先樋管,49.340,20160225
19.800,45.000,岡本取水樋管,0.000,20160225
20.400,19.000,新藻岩橋,63.390,20160225
20.600,133.000,藻岩上の橋,65.210,20160225
