8101030031,石狩川水系,豊平川,,,,,,
0.000,0.000,,,,,,,20211008
0.200,200.000,,,,,,,20211008
0.400,200.000,9.790,2.444,9.750,,-2.480,-1.560,20211008
0.600,198.000,9.877,3.739,9.780,,-1.830,-0.940,20211008
0.800,195.000,10.148,9.276,9.870,9.610,-2.220,-1.360,20211008
1.000,200.000,10.117,8.811,9.800,9.160,-2.180,-1.490,20211008
1.200,205.000,9.941,9.040,9.710,9.280,-2.130,-1.230,20211008
1.400,198.000,9.895,9.488,9.710,9.830,-2.090,-0.930,20211008
1.600,197.000,9.867,9.592,9.920,9.440,-2.110,-1.140,20211008
1.800,202.000,9.873,9.298,9.790,9.640,-1.900,-1.120,20211008
2.000,200.000,9.774,9.442,9.710,9.640,-1.880,-1.100,20211008
2.200,198.000,9.875,9.328,9.900,9.610,-1.870,-1.180,20211008
2.400,197.000,9.783,9.049,9.750,9.630,-1.780,-1.010,20211008
2.600,202.000,9.753,9.158,9.690,9.630,-1.670,-0.930,20211008
2.800,200.000,9.757,9.010,9.710,9.510,-1.770,-0.990,20211008
3.000,196.000,9.734,6.018,9.640,,-1.830,-0.950,20211008
3.200,197.000,9.823,9.163,9.690,9.280,-1.660,-0.690,20211008
3.400,205.000,9.775,9.189,9.710,9.350,-1.400,-0.780,20211008
3.600,198.000,9.822,9.209,9.740,9.260,-1.440,-0.470,20211008
3.800,197.000,9.988,9.089,9.660,9.120,-1.230,-0.830,20211008
4.000,202.000,9.690,9.163,9.570,9.220,-1.400,-0.630,20211008
4.200,203.000,8.974,9.141,9.500,9.160,-1.350,-0.550,20211008
4.400,200.000,8.960,9.146,9.550,9.180,-1.430,-0.780,20211008
4.600,202.000,9.406,9.118,9.450,9.200,-1.640,-0.750,20211008
4.800,195.000,9.531,9.194,9.640,9.140,-1.530,-0.300,20211008
5.000,200.000,9.714,9.083,9.780,9.180,-1.430,-0.590,20211008
5.200,200.000,9.838,9.060,9.890,9.150,-1.670,-0.790,20211008
5.400,195.000,9.870,8.967,10.000,9.080,-1.840,-0.990,20211008
5.600,197.000,9.493,9.143,9.800,9.070,-1.330,-0.850,20211008
5.800,197.000,9.385,8.867,9.700,9.420,-1.270,-0.590,20211008
6.000,200.000,9.408,9.208,9.430,9.470,-0.850,0.020,20211008
6.200,202.000,5.406,9.188,9.590,9.350,-0.940,-0.050,20211008
6.288,85.000,,,　　　,　　　,,,20211008
6.400,108.000,8.402,8.907,9.180,9.040,-1.220,-0.020,20211008
6.600,202.000,9.710,10.226,10.300,9.600,-1.570,-0.510,20211008
6.800,200.000,8.842,8.629,9.150,9.640,-1.180,-0.430,20211008
6.894,94.000,9.351,9.684,9.230,9.600,-1.310,-0.160,20211008
7.000,106.000,8.933,8.975,8.970,9.930,-1.380,0.020,20211008
7.200,192.000,9.009,9.454,9.680,9.780,-0.920,0.300,20211008
7.400,203.000,9.670,9.573,9.970,10.200,-0.830,-0.310,20211008
7.600,225.000,9.935,9.076,10.040,10.000,-0.860,0.080,20211008
7.800,192.000,10.007,9.335,10.170,10.470,-1.360,-0.390,20211008
8.000,195.000,10.167,9.395,10.200,10.600,-1.790,0.180,20211008
8.200,185.000,9.873,9.899,10.390,10.610,-2.400,-0.330,20211008
8.400,195.000,10.537,9.911,10.440,10.810,-2.260,0.380,20211008
8.600,195.000,10.240,10.109,10.610,10.850,-0.450,0.410,20211008
8.800,195.000,10.657,10.584,10.800,11.410,-0.720,0.590,20211008
8.982,182.000,11.067,11.564,11.070,11.360,-0.440,0.670,20211008
9.000,18.000,10.918,10.918,10.970,11.460,-0.570,0.570,20211008
9.200,202.000,10.813,10.469,11.420,11.750,-1.730,0.670,20211008
