ç∂ä›íÁñhçÇ,
,
0,0
0.2,200
0.4,400
0.6,598
0.8,793
1,993
1.2,1198
1.4,1396
1.6,1593
1.8,1795
2,1995
2.2,2193
2.4,2390
2.6,2592
2.8,2792
3,2988
3.2,3185
3.4,3390
3.6,3588
3.8,3785
4,3987
4.2,4190
4.4,4390
4.6,4592
4.8,4787
5,4987
5.2,5187
5.4,5382
5.6,5579
5.8,5776
6,5976
6.2,6178
6.288,6263
6.4,6371
6.6,6573
6.8,6773
6.894,6867
7,6973
7.2,7165
7.4,7368
7.6,7593
7.8,7785
8,7980
8.2,8165
8.4,8360
8.6,8555
8.8,8750
8.982,8932
9,8950
9.2,9152
9.4,9355
9.6,9553
9.8,9748
10,9951
10.2,10147
10.4,10347
10.6,10542
10.61,10553
10.8,10752
10.895,10845
11,10948
11.2,11138
11.248,11192
11.4,11361
11.6,11547
11.8,11737
12,11915
12.022,11937
12.059,11975
12.075,11991
12.086,12002
12.2,12117
12.4,12312
12.467,12375
12.6,12500
12.8,12702
13,12879
13.2,13104
13.4,13306
13.455,13361
13.481,13387
13.539,13446
13.6,13507
13.8,13710
14,13912
14.089,13995
14.104,14009
14.107,14012
14.2,14099
14.336,14238
14.4,14304
14.433,14337
14.554,14457
14.581,14484
14.6,14502
14.706,14614
14.8,14714
15,14911
15.118,15026
15.2,15106
15.243,15149
15.269,15175
15.4,15308
15.542,15456
15.55,15464
15.6,15516
15.8,15707
15.915,15823
15.93,15838
16,15909
16.2,16126
16.4,16313
16.537,16455
16.562,16481
16.6,16521
16.607,16528
16.8,16713
17,16915
17.142,17058
17.2,17117
17.372,17289
17.398,17315
17.4,17317
17.6,17504
17.757,17661
17.767,17671
17.8,17704
18,17894
18.2,18102
18.4,18298
18.6,18500
18.8,18700
19,18892
19.2,19087
19.212,19097
19.4,19252
19.6,19472
19.8,19664
20,19849
20.2,20049
20.39,20236
20.4,20246
20.6,20438
20.752,20587
20.8,20634
21,20819
21.2,21012
21.4,21212
/,
