8101030003,石狩川水系,茨戸川,右岸
0.400,153.000,運河橋,6.410,20151005
0.400,165.000,運河水門,-2.200,20151005
1.000,67.000,マクンベツ二号樋門,-0.280,20150916
1.600,257.000,生振一号樋門,-0.540,20150916
2.600,150.000,生振二号樋門,-0.990,20150916
3.000,101.000,生振三号樋門,-0.790,20150916
4.200,145.000,生振四号樋門,-0.710,20150916
5.200,147.000,生振五号樋門,-0.840,20150903
5.600,134.000,生振六号樋門,-0.880,20150903
6.400,123.000,生振七号樋門,-0.610,20150916
6.800,38.000,花畔大橋,5.690,20150928
7.600,93.000,菅原用水樋管,-0.520,20150903
8.000,88.000,生振九号樋門,0.020,20150916
8.600,66.000,後藤揚水樋管,-0.650,20150903
9.600,203.000,生振十号樋門,-0.710,20150903
10.000,309.000,生振十一号樋門,-0.800,20150916
10.200,350.000,生振十二号樋門,-0.600,20150916
11.000,4.000,茨戸大橋,3.920,20150918
11.200,33.000,生振十三号樋門,0.160,20150916
11.200,100.000,観音橋,3.110,20151015
11.800,146.000,吉田樋門,-0.330,20150903
12.400,243.000,茨戸上流四線樋門,-0.340,20150903
12.800,266.000,茨戸上流五線樋門,-0.280,20150903
14.400,10.000,茨戸上流七線樋門,-0.370,20150916
15.000,128.000,茨戸上流八線樋門,-0.310,20150916
15.200,42.000,生振大橋,5.930,20151112
17.200,37.000,山口橋,2.770,20151118
