8101030012,石狩川水系,創成川,左岸
0.200,-41.000,逍楊橋,3.070,20150909
0.600,44.000,茨戸耕北橋,2.860,20150909
0.600,120.000,創成排水機場樋門,-1.180,20150907
1.000,10.000,北商橋,3.140,20150910
1.400,125.000,上茨戸中間橋,3.250,20150910
2.000,20.000,北五番橋,3.350,20150910
2.000,50.000,屯田五番排水樋管,999.999,20150907
2.000,90.000,横新道橋,3.410,20150910
2.600,76.000,北四番橋,3.720,20150910
3.200,100.000,屯田三番排水樋管,1.010,20150907
3.200,112.000,北三番橋(下),3.960,20150915
3.200,137.000,北三番橋(上),4.190,20150915
3.600,20.000,さなえ橋,4.160,20150915
3.800,128.000,北二番橋,4.280,20150915
4.200,18.000,屯田団地樋門,0.580,20150907
4.200,38.000,屯田団地橋,4.490,20150916
4.400,151.000,協栄橋,7.000,20150916
4.600,75.000,創成川橋梁,4.790,20150916
