8101030020,êŒéÎêÏêÖån,äÂóàêVêÏ
0.080,0.000,4.450,5.043,5.600,4.980,-0.620,-0.108,20111012
0.200,120.000,4.529,4.539,4.680,4.550,0.350,0.402,20111012
0.355,155.000,5.431,6.154,    ,    ,0.350,0.456,20111012
0.400,45.000,4.517,4.804,4.820,4.800,0.450,0.532,20111012
0.550,150.000,5.105,5.147,    ,    ,0.400,0.518,20111012
0.600,50.000,4.527,4.650,4.660,4.590,0.350,0.498,20111012
0.689,89.000,5.936,5.553,    ,    ,0.500,0.557,20111012
0.800,111.000,4.390,4.750,4.680,4.630,0.510,0.600,20111012
1.000,200.000,4.563,4.793,4.650,4.640,0.440,0.652,20111012
1.073,73.000,5.773,5.589,    ,    ,0.480,0.662,20111012
1.200,127.000,4.680,4.679,4.750,4.780,0.610,0.708,20111012
1.400,200.000,4.687,4.781,4.770,4.780,0.640,0.708,20111012
1.600,200.000,4.817,4.924,4.840,4.900,0.680,0.786,20111012
1.751,151.000,6.682,6.708,    ,    ,0.750,0.831,20111012
1.800,49.000,5.107,5.519,5.360,5.710,0.650,0.741,20111012
2.000,200.000,3.379,4.990,    ,5.070,0.670,0.867,20111012
2.200,200.000,4.915,5.064,4.970,5.010,0.820,0.948,20111013
2.400,200.000,4.908,4.962,4.920,4.930,0.810,0.906,20111013
2.478,78.000,6.901,6.783,    ,    ,0.840,0.903,20111013
2.600,122.000,4.969,4.926,5.000,4.880,0.830,0.884,20111013
2.800,200.000,4.978,5.030,4.940,4.980,0.810,0.891,20111013
2.863,63.000,6.495,6.628,    ,    ,0.750,0.883,20111013
3.000,137.000,4.895,5.094,4.990,4.980,0.820,0.913,20111013
3.156,156.000,6.208,6.232,    ,    ,0.780,0.839,20111013
3.200,44.000,7.333,6.919,7.360,6.860,0.770,0.861,20111013
3.206,6.000,7.523,7.481,    ,    ,0.800,0.883,20111013
3.305,99.000,4.925,5.295,5.020,5.350,-0.060,0.353,20111013
