8101030081,êŒéÎêÏêÖån,êÁçŒêÏ,,,,,,
0.200 ,0.000 ,10.738 ,6.045 ,11.000 ,,-4.000 ,-1.790 ,20141031
0.400 ,160.000 ,10.645 ,6.637 ,11.000 ,,-3.180 ,-1.620 ,20141031
0.556 ,178.000 ,10.591 ,8.540 ,11.010 ,,-3.250 ,-1.660 ,20141031
0.600 ,50.000 ,10.380 ,7.721 ,11.000 ,,-2.960 ,-1.850 ,20141031
0.720 ,93.000 ,,,,,,,20141031
0.800 ,82.000 ,10.643 ,12.052 ,10.980 ,11.780 ,-2.210 ,-1.410 ,20141031
0.970 ,173.000 ,10.851 ,11.826 ,,,-1.920 ,-1.380 ,20141031
0.981 ,12.000 ,10.322 ,9.772 ,,,-2.240 ,-1.420 ,20141031
1.000 ,19.000 ,11.510 ,11.716 ,11.250 ,11.540 ,-2.210 ,-1.680 ,20141031
1.093 ,94.000 ,12.746 ,12.460 ,,,-3.090 ,-1.590 ,20141031
1.200 ,108.000 ,8.142 ,11.624 ,11.370 ,11.510 ,-3.020 ,-1.650 ,20141031
1.400 ,143.000 ,11.743 ,11.739 ,11.530 ,11.640 ,-2.850 ,-1.550 ,20141031
1.600 ,139.000 ,11.622 ,11.573 ,11.520 ,11.490 ,-2.390 ,-1.740 ,20141031
1.800 ,190.000 ,11.583 ,11.788 ,11.460 ,11.520 ,-2.700 ,-1.760 ,20141030
2.000 ,204.000 ,11.233 ,11.599 ,11.710 ,11.510 ,-2.760 ,-1.920 ,20141030
2.200 ,202.000 ,11.636 ,11.740 ,11.420 ,11.640 ,-2.160 ,-1.660 ,20141030
2.400 ,205.000 ,11.185 ,11.677 ,11.150 ,11.400 ,-2.200 ,-1.740 ,20141030
2.600 ,195.000 ,10.592 ,10.629 ,11.210 ,10.460 ,-2.820 ,-1.530 ,20141030
2.800 ,195.000 ,10.021 ,10.436 ,11.390 ,10.830 ,-2.220 ,-1.510 ,20141030
3.000 ,202.000 ,7.324 ,10.236 ,11.480 ,10.770 ,-2.300 ,-1.450 ,20141030
3.200 ,198.000 ,10.343 ,10.560 ,11.230 ,10.540 ,-2.270 ,-1.350 ,20141030
3.400 ,197.000 ,11.637 ,10.429 ,11.310 ,10.570 ,-2.150 ,-1.540 ,20141030
3.600 ,207.000 ,9.941 ,6.449 ,11.200 ,11.120 ,-3.040 ,-1.280 ,20141030
3.800 ,156.000 ,7.174 ,5.092 ,10.730 ,10.550 ,-2.890 ,-1.270 ,20141030
3.803 ,3.000 ,10.771 ,10.530 ,10.771 ,10.530 ,-3.270 ,-1.310 ,20141030
4.000 ,190.000 ,9.965 ,10.115 ,11.250 ,10.290 ,-3.140 ,-1.330 ,20141030
4.200 ,200.000 ,11.498 ,10.060 ,11.150 ,9.740 ,-1.810 ,-1.370 ,20141030
4.400 ,207.000 ,5.932 ,5.455 ,11.300 ,9.670 ,-2.080 ,-1.140 ,20141030
4.600 ,199.000 ,6.860 ,9.714 ,11.480 ,9.510 ,-2.720 ,-1.370 ,20141030
4.800 ,198.000 ,5.637 ,9.501 ,11.160 ,9.360 ,-2.170 ,-1.530 ,20141030
5.000 ,200.000 ,10.128 ,9.170 ,11.140 ,9.950 ,-2.560 ,-1.140 ,20141030
5.200 ,201.000 ,6.645 ,9.596 ,11.100 ,9.450 ,-2.280 ,-1.300 ,20141030
5.400 ,206.000 ,6.609 ,10.065 ,11.070 ,9.950 ,-4.390 ,-1.770 ,20141030
5.600 ,155.000 ,11.455 ,10.107 ,11.060 ,10.020 ,-1.700 ,-1.240 ,20141030
5.800 ,198.000 ,11.391 ,9.899 ,11.090 ,11.220 ,-1.980 ,-1.090 ,20141030
6.000 ,192.000 ,9.435 ,6.299 ,10.970 ,10.030 ,-2.020 ,-1.430 ,20141029
6.200 ,195.000 ,9.845 ,5.834 ,11.100 ,9.700 ,-2.650 ,-1.260 ,20141029
6.400 ,197.000 ,9.931 ,6.160 ,11.100 ,9.700 ,-2.990 ,-1.610 ,20141029
6.600 ,198.000 ,9.802 ,10.809 ,11.070 ,10.560 ,-1.820 ,-1.400 ,20141029
6.800 ,190.000 ,11.131 ,6.679 ,10.800 ,10.330 ,-1.380 ,-0.870 ,20141029
7.000 ,197.000 ,10.198 ,5.967 ,10.860 ,10.080 ,-2.130 ,-1.050 ,20141029
7.064 ,65.000 ,13.294 ,13.344 ,,,-1.650 ,-0.990 ,20141029
7.200 ,138.000 ,11.459 ,5.597 ,11.150 ,9.670 ,-1.480 ,-1.030 ,20141029
7.400 ,196.000 ,9.953 ,9.353 ,10.980 ,9.540 ,-1.390 ,-1.000 ,20141029
7.600 ,204.000 ,9.695 ,5.577 ,9.810 ,11.250 ,-1.430 ,-1.030 ,20141029
7.800 ,203.000 ,11.452 ,5.591 ,11.020 ,11.340 ,-1.410 ,-0.870 ,20141029
8.000 ,198.000 ,11.070 ,5.649 ,10.800 ,9.790 ,-1.180 ,-0.910 ,20141029
8.200 ,202.000 ,11.149 ,5.660 ,10.900 ,9.650 ,-1.210 ,-0.890 ,20141029
8.400 ,200.000 ,11.314 ,9.549 ,11.030 ,9.630 ,-1.640 ,-1.020 ,20141029
8.600 ,193.000 ,11.399 ,5.555 ,11.110 ,11.320 ,-1.940 ,-0.890 ,20141028
8.800 ,197.000 ,6.336 ,6.822 ,9.750 ,11.430 ,-1.880 ,-0.940 ,20141028
9.000 ,198.000 ,11.212 ,6.543 ,10.920 ,10.980 ,-1.590 ,-1.060 ,20141028
9.200 ,199.000 ,11.191 ,10.184 ,10.930 ,10.310 ,-1.410 ,-1.070 ,20141028
9.400 ,202.000 ,11.292 ,10.020 ,11.060 ,10.030 ,-3.140 ,-0.840 ,20141028
9.600 ,177.000 ,11.398 ,9.663 ,11.110 ,10.060 ,-1.500 ,-0.850 ,20141028
9.800 ,198.000 ,11.437 ,10.133 ,11.170 ,10.060 ,-1.100 ,-0.820 ,20141028
10.000 ,198.000 ,11.607 ,6.478 ,11.310 ,10.510 ,-1.250 ,-1.000 ,20141028
10.200 ,191.000 ,11.598 ,7.858 ,11.330 ,11.250 ,-1.810 ,-0.700 ,20141028
10.400 ,195.000 ,11.652 ,7.914 ,11.310 ,11.330 ,-1.720 ,-0.770 ,20141028
10.600 ,198.000 ,11.670 ,11.649 ,11.390 ,11.420 ,-1.380 ,-0.630 ,20141022
10.800 ,205.000 ,11.670 ,10.194 ,11.430 ,11.370 ,-1.180 ,-0.780 ,20141022
11.000 ,198.000 ,10.742 ,6.335 ,10.190 ,10.690 ,-1.780 ,-0.570 ,20141022
11.200 ,194.000 ,10.579 ,10.750 ,10.220 ,10.590 ,-1.040 ,-0.610 ,20141022
11.400 ,200.000 ,10.272 ,11.685 ,10.170 ,11.430 ,-1.220 ,-0.540 ,20141022
11.600 ,197.000 ,11.679 ,6.451 ,11.400 ,10.060 ,-1.570 ,-0.440 ,20141022
11.800 ,183.000 ,11.620 ,6.476 ,11.300 ,10.140 ,-1.390 ,-0.460 ,20141022
12.000 ,186.000 ,11.715 ,6.863 ,11.350 ,10.240 ,-1.260 ,-0.660 ,20141022
12.200 ,180.000 ,11.765 ,7.631 ,11.490 ,10.420 ,-2.070 ,-0.440 ,20141022
12.400 ,183.000 ,7.139 ,10.431 ,10.900 ,10.320 ,-0.650 ,-0.300 ,20141022
12.600 ,203.000 ,11.613 ,8.228 ,11.370 ,10.420 ,-0.500 ,-0.300 ,20141022
12.800 ,201.000 ,11.561 ,11.714 ,11.270 ,11.390 ,-1.140 ,-0.200 ,20141022
13.000 ,202.000 ,11.554 ,11.649 ,11.300 ,11.380 ,-0.810 ,-0.290 ,20141022
13.200 ,200.000 ,11.601 ,11.626 ,11.330 ,11.350 ,-0.780 ,-0.290 ,20141022
13.400 ,200.000 ,11.645 ,11.565 ,11.310 ,11.300 ,-1.960 ,-0.560 ,20141022
13.600 ,176.000 ,11.595 ,11.453 ,11.320 ,11.260 ,-0.980 ,-0.450 ,20141022
13.800 ,183.000 ,11.679 ,7.100 ,11.380 ,11.390 ,-0.770 ,-0.220 ,20141022
14.000 ,193.000 ,10.217 ,11.667 ,10.180 ,11.350 ,-1.630 ,-0.210 ,20141021
14.200 ,193.000 ,6.719 ,10.729 ,10.330 ,11.290 ,-1.300 ,-0.140 ,20141021
14.400 ,178.000 ,10.857 ,7.356 ,10.410 ,11.460 ,-0.460 ,-0.250 ,20141021
14.600 ,202.000 ,10.355 ,10.747 ,10.410 ,10.810 ,-0.770 ,-0.110 ,20141021
14.800 ,196.000 ,10.950 ,10.388 ,10.500 ,10.280 ,-0.760 ,-0.230 ,20141021
15.000 ,187.000 ,6.810 ,5.945 ,10.850 ,10.140 ,-1.340 ,-0.290 ,20141021
15.200 ,197.000 ,10.493 ,10.442 ,,10.450 ,-1.440 ,-0.400 ,20141021
15.237 ,39.000 ,12.247 ,12.101 ,,,-1.530 ,-0.530 ,20141021
15.400 ,171.000 ,5.620 ,10.658 ,10.800 ,10.540 ,-1.080 ,-0.130 ,20141021
15.600 ,180.000 ,10.644 ,10.533 ,10.920 ,10.420 ,-0.680 ,0.040 ,20141021
15.800 ,224.000 ,10.658 ,10.666 ,10.820 ,10.510 ,-0.270 ,-0.170 ,20141021
16.000 ,199.000 ,10.907 ,5.937 ,10.700 ,10.300 ,-1.060 ,-0.160 ,20141021
16.200 ,194.000 ,6.571 ,11.410 ,10.490 ,11.600 ,-0.830 ,-0.050 ,20141021
16.400 ,194.000 ,11.312 ,10.253 ,10.930 ,10.190 ,-0.650 ,0.010 ,20141021
16.600 ,192.000 ,10.652 ,10.622 ,10.510 ,10.170 ,-0.260 ,0.020 ,20141021
16.800 ,216.000 ,10.874 ,10.728 ,10.740 ,10.290 ,-0.040 ,0.130 ,20141021
17.000 ,180.000 ,10.700 ,10.427 ,10.550 ,10.400 ,-0.060 ,0.100 ,20141021
17.200 ,206.000 ,10.536 ,11.072 ,10.580 ,10.950 ,-0.790 ,-0.040 ,20141021
17.400 ,195.000 ,10.424 ,11.010 ,10.430 ,10.950 ,-0.160 ,0.250 ,20141021
17.600 ,219.000 ,10.657 ,10.939 ,10.560 ,10.860 ,-0.100 ,0.270 ,20141021
17.712 ,102.000 ,13.503 ,13.848 ,,,-0.380 ,0.250 ,20141021
17.800 ,80.000 ,10.211 ,8.940 ,,,-0.220 ,0.160 ,20141021
18.000 ,198.000 ,10.593 ,10.133 ,10.470 ,11.260 ,-0.400 ,0.150 ,20141021
18.200 ,197.000 ,10.285 ,11.593 ,10.650 ,11.340 ,0.020 ,0.300 ,20141021
18.400 ,206.000 ,5.929 ,10.435 ,10.290 ,10.370 ,-0.160 ,0.300 ,20141021
18.600 ,197.000 ,10.156 ,10.606 ,10.030 ,10.510 ,-0.210 ,0.420 ,20141021
18.800 ,190.000 ,10.145 ,9.950 ,10.050 ,10.060 ,0.040 ,0.360 ,20141021
19.000 ,190.000 ,10.204 ,10.581 ,10.030 ,10.400 ,0.050 ,0.330 ,20141021
19.200 ,211.000 ,10.293 ,10.217 ,10.250 ,10.050 ,-0.130 ,0.510 ,20141021
19.400 ,199.000 ,5.679 ,10.155 ,9.700 ,10.130 ,-0.040 ,0.500 ,20141021
19.600 ,189.000 ,10.646 ,10.267 ,10.260 ,10.380 ,0.100 ,0.470 ,20141021
19.800 ,193.000 ,10.010 ,10.588 ,9.910 ,10.300 ,0.010 ,0.440 ,20141021
20.000 ,216.000 ,5.351 ,10.707 ,10.100 ,10.550 ,-0.100 ,0.300 ,20141020
20.200 ,188.000 ,5.276 ,10.378 ,10.160 ,10.280 ,-0.060 ,0.450 ,20141020
20.400 ,199.000 ,5.584 ,10.374 ,10.240 ,10.190 ,-0.070 ,0.680 ,20141020
20.600 ,195.000 ,5.637 ,9.874 ,10.240 ,10.010 ,-0.210 ,0.640 ,20141020
20.800 ,194.000 ,5.683 ,10.636 ,11.040 ,10.270 ,-0.070 ,0.680 ,20141020
21.000 ,177.000 ,5.630 ,10.603 ,11.110 ,10.310 ,0.000 ,0.750 ,20141020
21.200 ,188.000 ,5.685 ,10.577 ,11.160 ,10.490 ,-0.100 ,0.560 ,20141020
21.400 ,180.000 ,5.939 ,10.788 ,10.390 ,10.630 ,0.070 ,0.500 ,20141020
21.600 ,202.000 ,10.596 ,10.075 ,10.120 ,9.960 ,0.280 ,0.490 ,20141020
21.800 ,202.000 ,9.675 ,10.163 ,10.060 ,10.100 ,0.250 ,0.670 ,20141020
22.000 ,199.000 ,10.003 ,10.206 ,10.210 ,10.100 ,0.330 ,0.830 ,20141020
22.200 ,205.000 ,5.255 ,10.336 ,9.970 ,10.140 ,0.260 ,0.800 ,20141020
22.400 ,198.000 ,9.690 ,9.995 ,9.550 ,10.130 ,0.430 ,0.820 ,20141020
22.600 ,171.000 ,9.838 ,9.803 ,9.660 ,10.030 ,0.000 ,0.840 ,20141020
22.800 ,183.000 ,5.455 ,10.332 ,9.740 ,10.210 ,0.460 ,0.780 ,20141020
23.000 ,190.000 ,10.521 ,10.274 ,10.230 ,10.250 ,0.380 ,0.810 ,20141020
23.200 ,200.000 ,5.791 ,10.293 ,10.270 ,10.290 ,0.300 ,0.840 ,20141020
23.400 ,180.000 ,5.419 ,10.854 ,10.290 ,10.860 ,0.490 ,0.940 ,20141020
23.600 ,191.000 ,5.347 ,10.689 ,10.050 ,10.510 ,0.600 ,0.930 ,20141020
23.800 ,180.000 ,6.686 ,10.715 ,10.190 ,10.400 ,0.840 ,0.970 ,20141020
24.000 ,201.000 ,10.583 ,5.765 ,10.320 ,10.400 ,0.650 ,1.160 ,20141020
24.200 ,181.000 ,5.764 ,10.245 ,10.030 ,10.600 ,0.810 ,1.120 ,20141020
24.400 ,192.000 ,6.095 ,10.847 ,10.490 ,10.560 ,0.950 ,1.180 ,20141020
24.600 ,196.000 ,5.616 ,10.791 ,10.140 ,10.570 ,0.880 ,1.190 ,20141020
24.800 ,201.000 ,6.054 ,11.528 ,10.450 ,11.200 ,0.620 ,1.110 ,20141020
25.000 ,199.000 ,6.197 ,11.258 ,10.340 ,10.750 ,0.980 ,1.210 ,20141020
25.200 ,204.000 ,10.641 ,11.154 ,10.230 ,10.620 ,1.030 ,1.300 ,20141020
25.400 ,202.000 ,6.533 ,10.636 ,10.410 ,10.800 ,0.820 ,1.420 ,20141020
25.600 ,204.000 ,5.796 ,11.084 ,10.580 ,10.520 ,0.520 ,1.430 ,20141020
25.800 ,204.000 ,5.875 ,10.894 ,10.580 ,10.610 ,-0.280 ,1.440 ,20141020
26.000 ,187.000 ,11.066 ,10.537 ,10.620 ,10.400 ,0.810 ,1.380 ,20141020
