8101030081,石狩川水系,千歳川,左岸
27.000,32.000,漁太川樋門,3.470,20151118
27.200,41.000,第一揚水機場樋門(門柱レス樋門),999.999,20151118
28.400,146.000,舞鶴橋,11.080,20151118
29.000,7.000,東二線樋門,3.270,20151118
29.200,75.000,漁太排水機場樋門,2.760,20151118
31.000,179.000,漁太東四線樋門,1.130,20151118
33.000,51.000,カリンバ樋門,3.530,20151118
33.200,90.000,南十八号排水機場樋門,3.230,20151118
34.200,190.000,千歳川長都揚水機場樋門,1.950,20151118
34.400,113.000,漁太南二十号樋門(門柱レス樋門),4.660,20151118
34.800,123.000,釜加南二十一号排水機場樋門,3.360,20151118
35.400,123.000,漁太南二十二号樋門,4.190,20151118
35.400,197.000,長都大橋,11.200,20151118
36.000,110.000,新千歳川橋,15.290,20151118
36.200,10.000,福屋樋門,4.710,20151118
37.600,25.000,第四支線樋門,4.680,20151118
38.800,115.000,第五支線樋門,4.670,20151118
40.000,153.000,千歳川No.28樋門,4.760,20151118
40.600,15.000,根志越橋下流,11.800,20151118
40.600,25.000,根志越橋上流,11.600,20151118
41.200,25.000,末広樋門,5.920,20151118
42.200,19.000,サーモン橋,10.410,20151117
42.600,83.000,インディアン水車橋,10.940,20151117
42.800,15.000,床止,7.570,20151116
42.800,123.000,日の出橋,11.520,20151116
43.200,134.000,平和橋,12.420,20151116
43.600,11.000,千歳鉄道橋,20.110,20151116
43.600,93.000,第二千歳橋,12.660,20151116
43.800,45.000,清雲橋,12.850,20151116
44.000,151.000,仲の橋,13.120,20151116
44.200,77.000,清水橋,13.390,20151116
44.400,97.000,新橋歩道橋,13.890,20151116
44.400,100.000,新橋,13.630,20151116
44.400,171.000,千歳橋,13.860,20151116
