8101030081,石狩川水系,千歳川,右岸
27.600,210.000,舞鶴第一排水機場樋門(門柱レス樋門),3.150,20151119
27.800,35.000,西南揚水機場樋門,1.290,20151119
27.800,67.000,舞鶴第一揚水機場樋門(門柱レス樋門),2.040,20151119
28.400,172.000,舞鶴橋,10.970,20151120
30.800,105.000,東四線樋門(門柱レス樋門),4.100,20151119
31.800,47.000,大学排水機場樋門,2.030,20151119
31.800,210.000,大学排水樋門,1.330,20151119
34.200,90.000,長都南二十号樋門,3.690,20151119
34.800,55.000,中央長都排水機場樋管,3.580,20151119
35.400,193.000,長都大橋,11.220,20151119
36.000,141.000,新千歳川橋,15.740,20151119
40.600,10.000,根志越橋下流,11.840,20151119
40.600,22.000,根志越橋上流,11.600,20151119
40.600,185.000,根志越橋樋門,6.510,20151119
41.200,45.000,千歳川No.17樋門,5.780,20151119
42.200,43.000,サーモン橋,10.400,20151117
42.600,83.000,インディアン水車橋,10.950,20151117
42.800,15.000,床止,7.590,20151116
42.800,140.000,日の出橋,11.640,20151116
43.200,111.000,平和橋,12.240,20151116
43.600,16.000,千歳鉄道橋,20.110,20151116
43.600,95.000,第二千歳橋,12.690,20151116
43.800,67.000,清雲橋,12.970,20151116
44.000,143.000,仲の橋,13.150,20151116
44.200,68.000,清水橋,13.380,20151116
44.400,85.000,新橋歩道橋,13.870,20151116
44.400,88.000,新橋,13.620,20151116
44.400,176.000,千歳橋,13.860,20151116
