8101030081,石狩川水系,千歳川,左岸,
0.200,150.000,王子放流樋門,3.770,20240315,
0.400,46.000,五条通り樋門,3.190,20240315,
0.400,134.000,新江別橋,13.520,20240315,
0.800,117.000,江別市街築堤1号樋管,6.100,20240315,
0.800,168.000,江別鉄道橋下流,10.050,20240315,
0.800,178.000,江別鉄道橋上流,10.150,20240315,
1.000,107.000,東光橋,10.280,20240315,
1.400,77.000,早苗別川樋門,-0.180,20240315,
2.000,127.000,南大通大橋,13.270,20240315,
2.200,140.000,上江別樋門,2.060,20240315,
2.600,17.000,上江別排水樋門,-0.620,20240315,
3.200,24.000,早苗別水門,0.330,20240315,
3.200,100.000,早苗別川排水機場樋門,2.330,20240315,
3.800,18.000,千歳川大橋,11.880,20240315,
4.800,30.000,小林樋門,-0.960,20240315,
5.600,85.000,下の月樋門,3.260,20240315,
7.000,67.000,江南橋,11.310,20240315,
7.800,0.000,中央幹線樋門,-0.860,20240315,
10.400,203.000,神田樋門,2.320,20240315,
11.400,81.000,上の月樋門,-0.400,20240315,
12.200,113.000,登満別排水機場樋門,2.590,20240315,
12.200,225.000,登満別樋門,-0.650,20240315,
13.800,154.000,志文別樋門,2.190,20240315,
15.000,25.000,裏の沢樋門,0.570,20240315,
15.200,36.000,広幌橋,10.760,20240315,
15.200,130.000,北の里樋門,2.590,20240315,
16.200,56.000,青ん坊樋門,2.100,20240315,
16.200,178.000,共栄排水機場樋門,2.970,20240315,
16.800,106.000,旧島松川樋門,-0.160,20240315,
17.600,76.000, 新千歳川橋,11.090,20240315,
18.000,60.000,広島樋門,-0.510,20240315,
20.000,98.000,西８線樋門,2.450,20240315,
21.400,33.000,北島排水機場樋門,1.050,20240315,
21.800,100.000,北島松揚水機場樋門,-0.930,20240315,
22.000,3.000,西６線樋門,1.170,20240315,
23.200,95.000,千歳川第２揚水機場樋門,0.100,20240315,
24.000,85.000,西４線樋門,3.340,20240315,
27.000,32.000,漁太川樋門,3.470,20240315,
27.200,41.000,第一揚水機場樋門,999.999,20240315,
28.400,146.000,舞鶴橋,11.080,20240315,
29.000,7.000,東二線樋門,3.270,20240315,
29.200,75.000,漁太排水機場樋門,2.760,20240315,
31.000,179.000,漁太東四線樋門,1.130,20240315,
33.000,51.000,カリンバ樋門,3.530,20240315,
33.200,90.000,南十八号排水機場樋門,3.230,20240315,
34.200,190.000,千歳川長都揚水機場樋門,1.950,20240315,
34.400,113.000,漁太南二十号樋門,4.660,20240315,
34.800,123.000,釜加南二十一号排水機場樋門,3.360,20240315,
35.400,123.000,漁太南二十二号樋門,4.190,20240315,
35.400,197.000,長都大橋,11.200,20240315,
36.000,110.000,新千歳川橋,15.290,20240315,
36.200,10.000,福屋樋門,4.710,20240315,
37.600,25.000,第四支線樋門,4.680,20240315,
38.800,115.000,第五支線樋門,4.670,20240315,
40.000,153.000,千歳川No.28樋門,4.760,20240315,
40.600,15.000,根志越橋下流,11.800,20240315,
40.600,25.000,根志越橋上流,11.600,20240315,
41.200,25.000,末広樋門,5.920,20240315,
42.200,19.000,サーモン橋,10.410,20240315,
42.600,83.000,インディアン水車橋,10.940,20240315,
42.800,15.000,床止,7.570,20240315,
42.800,123.000,日の出橋,11.520,20240315,
43.200,134.000,平和橋,12.420,20240315,
43.600,11.000,千歳鉄道橋,20.110,20240315,
43.600,93.000,第二千歳橋,12.660,20240315,
43.800,45.000,清雲橋,12.850,20240315,
44.000,151.000,仲の橋,13.120,20240315,
44.200,77.000,清水橋,13.390,20240315,
44.400,97.000,新橋歩道橋,13.890,20240315,
44.400,100.000,新橋,13.630,20240315,
44.400,179.000,千歳橋,13.880,20240315,
