8101030085,石狩川水系,旧夕張川,左岸,
1.200,123.000,幌長橋,10.280,20240315,
1.800,101.000,西幌第一用水堰（下流）,1.170,20240315,
2.800,111.000,馬追4号半樋門,2.686,20240315,
2.800,194.000,南四号半放水樋門,2.709,20240315,
3.000,133.000,馬追運河水門,2.777,20240315,
3.000,225.000,馬追運河排水機場樋門,2.970,20240315,
3.800,92.000,南三号樋門,3.070,20240315,
5.000,95.000,西長沼排水機場樋門,3.488,20240315,
5.200,40.000,旧夕張川零号樋門,3.324,20240315,
5.800,193.000,木詰橋,10.440,20240315,
8.400,91.000,堺橋,10.760,20240315,
10.000,54.000,北六号排水機場樋門,5.061,20240315,
10.200,79.000,小林橋,10.385,20240315,
10.200,99.000,北6号樋門,5.764,20240315,
12.000,80.000,北8号橋,11.010,20240315,
14.000,41.000,長南橋,11.965,20240315,
16.200,189.000,西3線北14号橋,11.530,20240315,
