8101030085,石狩川水系,旧夕張川,右岸,
0.600,91.000,南十八線樋門,2.837,20240315,
1.200,71.000,幌長橋,10.280,20240315,
1.800,131.000,西幌第一用水堰（下流）,1.170,20240315,
1.800,149.000,西幌樋門,1.841,20240315,
5.200,198.000,西17号排水機場樋門,3.821,20240315,
5.800,214.000,木詰橋,10.470,20240315,
6.600,117.000,沼ノ里樋門,3.648,20240315,
8.400,116.000,堺橋,10.800,20240315,
10.200,89.000,小林橋,10.389,20240315,
10.200,156.000,西十号樋門,6.220,20240315,
11.400,93.000,西八号樋門,5.820,20240315,
12.000,67.000,北8号橋,11.029,20240315,
14.000,38.000,長南橋,11.972,20240315,
16.200,140.000,西3線北14号橋,11.660,20240315,
