8101030104,石狩川水系,漁川,右岸
0.800,92.000,南十二号漁川橋,10.310,20151116
3.200,86.000,南十五号漁川橋,12.310,20151116
4.200,0.000,第三号床止,7.410,20151029
4.800,211.000,南十八号漁川橋,14.560,20151116
6.200,100.000,第四号床止,12.040,20151029
6.200,106.000,漁川揚水樋門,10.510,20151119
6.800,5.000,南二十一号漁川橋,19.510,20151127
8.600,179.000,恵庭大橋,23.530,20151125
8.800,8.000,第十六号樋門,18.250,20151119
9.000,119.000,黄金橋,23.520,20151125
9.200,197.000,第十五号樋門,20.090,20151119
9.600,0.000,第五号床止,21.170,20151125
9.600,142.000,中島橋,26.670,20151124
9.800,62.000,漁川橋梁下流,28.550,20151007
9.800,78.000,漁川橋梁上流,28.680,20151007
10.000,62.000,有福橋,28.550,20151201
10.400,197.000,漁川橋,31.960,20151130
10.600,138.000,恵庭橋,32.250,20151130
11.000,178.000,新栄橋,33.170,20151130
11.400,17.000,日の出橋,34.000,20151130
11.400,147.000,第九号樋門,30.400,20151119
11.800,212.000,No.六-二樋門,31.620,20151119
12.000,62.000,あかね橋,36.970,20151130
13.200,140.000,漁川頭首工,43.030,20151126
13.200,152.000,漁川第二号堰堤樋門,41.510,20151119
13.600,131.000,漁川水管橋,51.740,20151126
13.600,146.000,道央自動車道橋,51.500,20151126
