8101030110,石狩川水系,嶮淵川,左岸
0.200,15.000,舞鶴小橋,11.060,20150910
0.200,120.000,逢坂樋門,3.730,20151109
1.400,10.000,東四線樋門,4.230,20151109
1.400,71.000,東四線南十三号橋,11.000,20150916
2.000,28.000,ポンユウ橋,11.110,20150916
2.400,177.000,嶮淵川橋,10.920,20150914
2.600,104.000,東六線樋門,3.680,20151109
3.600,82.000,繁殖橋,11.030,20150914
4.200,6.000,嶮淵川東九線樋門,4.230,20151109
5.800,7.000,国境樋門,5.220,20151109
6.200,134.000,嶮淵川橋,12.290,20150925
6.800,95.000,長沼用水路橋,11.170,20150915
7.000,4.000,登坂樋門,6.230,20151109
7.000,134.000,嶮淵川二号床止,6.750,20151109
7.000,197.000,泉郷橋,11.490,20151005
