8101030110,石狩川水系,嶮淵川,右岸,
0.200,15.000,舞鶴小橋,11.050,20240315,
0.400,5.000,南十二号樋門,3.310,20240315,
1.400,59.000,東四線南十三号橋,11.020,20240315,
2.000,25.000,ポンユウ橋,11.120,20240315,
2.400,176.000,嶮淵川橋,10.890,20240315,
2.600,90.000,東六線右岸樋門(門柱レス樋門),4.110,20240315,
3.600,34.000,繁殖橋,10.920,20240315,
3.800,120.000,舞鶴排水門,3.600,20240315,
6.200,124.000,嶮淵川橋,12.320,20240315,
6.800,62.000,長沼用水路橋,11.120,20240315,
7.000,26.000,松原樋門,6.240,20240315,
7.000,134.000,嶮淵川二号床止,6.750,20240315,
7.200,14.000,泉郷橋,11.510,20240315,
