8101030119,石狩川水系,夕張川,左岸
1.500,40.000,新江別大橋,12.200,20101117
1.500,106.000,新夕張川橋梁,12.090,20101117
2.000,45.000,渋川樋門,2.380,20101126
3.000,207.000,夕張川橋,12.130,20101126
6.250,24.000,栗幌橋,13.490,20101126
8.750,57.000,清幌床止,6.440,20101019
9.750,8.000,清幌橋,18.020,20101126
12.750,133.000,西一線樋門,14.810,20101022
14.000,50.000,馬蹄沼樋門,11.780,20101022
14.500,210.000,長栗大橋,23.140,20101119
15.000,220.000,東三線樋門,17.630,20101022
15.000,248.000,栗沢頭首工,15.760,20101122
16.250,126.000,東五線樋門,14.210,20101022
17.250,110.000,馬追橋,23.920,20101118
19.250,154.000,星の沢樋門,23.130,20101004
19.750,53.000,長沼頭首工,19.730,20101006
22.500,254.000,新由仁夕張川橋梁（下）,30.740,20101116
22.500,268.000,新由仁夕張川橋梁（上）,31.110,20101016
23.250,101.000,栗由大橋,30.370,20101016
25.000,26.000,夕張橋,33.200,20101012
34.250,-40.000,多良津橋,49.490,20101016
39.750,13.000,円山橋,61.150,20101124
44.500,80.000,川端橋,81.640,20101102
44.500,165.000,川端鉄道橋,78.740,20101105
