8101030119,石狩川水系,夕張川,右岸
1.500,44.000,新江別大橋,12.180,20101117
1.500,107.000,新夕張川橋梁,11.960,20101117
3.250,236.000,夕張川橋,11.370,20101126
6.000,10.000,夕張川下流樋門,6.220,20101124
6.500,55.000,栗幌橋,14.050,20101126
8.750,58.000,清幌床止,6.440,20101019
9.250,0.000,幌向揚水機場樋門,4.610,20101126
10.000,212.000,清幌橋,18.590,20101126
11.000,0.000,夕張川サイフォン樋門,10.870,20101202
14.000,0.000,栗丘樋門,15.500,20101022
14.750,53.000,長栗大橋,33.820,20101119
15.000,248.000,栗沢頭首工,15.760,20101122
17.250,182.000,馬追橋,22.930,20101118
19.750,62.000,長沼頭首工,20.710,20101006
22.500,96.000,新由仁夕張川橋梁（下）,30.740,20101116
22.500,119.000,新由仁夕張川橋梁（上）,30.480,20101016
23.250,12.000,栗由大橋,30.330,20101016
25.000,102.000,夕張橋,33.190,20101012
34.250,-16.000,多良津橋,49.670,20101016
39.750,177.000,円山橋,61.830,20101124
44.500,134.000,川端橋,82.490,20101102
44.500,214.000,川端鉄道橋,77.800,20101105
