8101030182,石狩川水系,幾春別川,左岸
-3.200,61.000,下達布樋門,0.330,20161110
1.400,71.000,今井幌達布一号樋門,4.080,20161110
1.800,156.000,幌達布幹線,14.240,20161026
2.000,180.000,北幌橋,15.600,20161026
2.400,38.000,伊藤樋門,4.820,20161110
4.600,153.000,美唄達布幹線湾管工,15.120,20161028
4.800,58.000,中の橋,15.060,20161028
4.800,180.000,鯉沼樋門,999.000,20161110
6.400,143.000,新川橋,15.150,20161101
7.600,120.000,西大橋,16.860,20161103
8.600,195.000,西新橋,18.950,20161104
9.400,66.000,通学橋,17.860,20161104
9.600,-1.000,第二床止,8.840,20161107
9.800,104.000,横断管,14.120,20161110
9.800,122.000,北盛橋,17.630,20161107
10.000,197.000,狩野橋,18.490,20161107
10.200,74.000,流雪溝取水口,9.810,20161110
11.000,167.000,東十丁目橋,20.710,20161108
13.600,136.000,北幾春橋,22.990,20161110
14.400,135.000,上幾春別川橋梁,23.630,20161110
15.400,99.000,新岡山橋,25.380,20161111
15.600,124.000,岡山橋,28.320,20161110
16.400,26.000,川向水管橋,25.530,20161111
17.000,124.000,川向頭首工,18.840,20161117
17.400,14.000,川向サイフォン,23.670,20161116
17.600,110.000,萱野橋,29.030,20161116
17.600,188.000,萱野一号樋門,23.400,20161110
18.400,5.000,萱野二号樋門,23.360,20161110
18.600,158.000,萱野水管橋,30.650,20161116
19.000,25.000,幾春別川橋,35.310,20161116
19.000,77.000,大里樋門,24.620,20161110
20.000,73.000,前田の沢樋門,25.340,20161110
20.600,111.000,三笠水管橋,35.910,20161114
20.800,72.000,新砂利山橋,33.740,20161114
20.800,91.000,砂利山橋,34.520,20161114
22.200,5.000,新本郷橋,36.210,20161114
