8101030182,石狩川水系,幾春別川,右岸
1.800,194.000,幌達布幹線,14.100,20161026
2.000,146.000,北幌橋,15.140,20161027
2.200,169.000,北幌上流樋門,3.810,20161114
4.600,155.000,美唄達布幹線湾管工,15.120,20161028
4.800,58.000,中の橋,15.080,20161028
5.000,82.000,青木樋門,6.200,20161114
6.400,143.000,新川橋,15.160,20161101
7.600,58.000,西大橋,16.860,20161102
8.600,164.000,西新橋,18.970,20161104
9.200,30.000,幾春別川四号幹線樋門,10.190,20161114
9.400,53.000,通学橋,17.820,20161104
9.600,9.000,第二床止,8.840,20161107
9.800,153.000,北盛橋,17.830,20161107
10.000,127.000,狩野橋,18.500,20161107
10.600,54.000,北本町樋門,15.100,20161114
11.000,189.000,東十丁目橋,20.490,20161108
11.600,113.000,横断管,15.970,20161114
13.600,64.000,横断管,17.970,20161114
13.600,108.000,北幾春橋,22.980,20161110
14.400,73.000,川向幹線第一放水路樋門,20.110,20161114
14.400,134.000,上幾春別川橋梁,24.100,20161110
15.400,110.000,新岡山橋,25.380,20161111
15.600,103.000,岡山橋,28.420,20161114
16.400,27.000,川向水管橋,25.580,20161117
17.000,124.000,川向頭首工,18.840,20161117
17.000,126.000,川向頭首工取水門,21.550,20161114
17.200,165.000,川向サイフォン樋門,24.730,20161117
17.400,12.000,川向サイフォン,24.310,20161114
17.600,107.000,萱野橋,29.080,20161117
18.000,3.000,岡山樋門,23.700,20161114
18.600,167.000,萱野水管橋,30.670,20161115
19.000,33.000,幾春別川橋,35.880,20161115
19.200,220.000,市来知樋門,25.120,20161114
20.600,12.000,砂利山橋下流樋門,25.850,20161114
20.600,150.000,三笠水管橋,35.900,20161115
20.800,99.000,新砂利山橋,33.750,20161114
20.800,116.000,砂利山橋,34.530,20161114
21.200,178.000,砂利山樋門,27.870,20161114
22.000,98.000,本郷樋門,28.820,20161114
22.200,6.000,新本郷橋,36.190,20161114
