8101030195,石狩川水系,旧美唄川,左岸
-1.000,49.000,幌達布幹線,-9.090,20100910
-0.800,129.000,新水路橋,15.310,20100910
1.400,227.000,片倉川樋門,2.260,20101129
1.800,0.000,開基樋門,2.310,20101129
4.000,177.000,開基橋,14.340,20100906
4.200,66.000,川岸樋門,5.090,20101129
5.000,15.000,浄水場樋門,6.130,20101129
6.000,108.000,中川樋門,6.720,20101129
6.400,95.000,北栄橋,14.110,20100917
6.600,56.000,岡樋管,5.660,20101129
7.600,145.000,二十一号樋管,5.710,20101129
8.200,57.000,赤川浄水機場樋門,1.500,20101129
8.400,9.000,加藤樋門,6.300,20101129
9.200,131.000,仁木樋門,6.490,20101129
9.800,131.000,大豊橋,15.270,20100908
10.000,220.000,鍛治樋門,7.210,20101129
10.600,97.000,旧美三号樋門,6.330,20101129
10.800,18.000,美三号橋,14.090,20100908
11.200,100.000,大願排水機場樋門,6.240,20101129
11.800,1.000,旧美六号樋門,6.800,20101129
11.800,115.000,東橋,13.380,20100909
12.600,108.000,上美唄水門,5.470,20100909
12.600,113.000,観月橋,15.590,20100909
12.800,76.000,旧美八号樋管,7.050,20101129
13.000,60.000,戸田橋,12.320,20100909
13.200,79.000,旧美九号樋門,8.630,20101129
13.800,107.000,旧美十一号樋門,8.780,20101129
14.427,3.000,中小屋橋,13.200,20100909
