8101030195,石狩川水系,旧美唄川,右岸
-1.000,51.000,幌達布幹線,-9.090,20100826
-0.800,167.000,新水路橋,15.990,20100826
2.000,44.000,原林樋管,6.700,20101130
3.600,75.000,北村二号樋管,5.660,20101130
3.800,45.000,北村三号樋管,4.320,20101129
4.000,96.000,開基橋,14.650,20100827
4.200,104.000,棚山樋管,5.160,20101130
5.000,110.000,石田樋門,4.320,20101130
6.200,111.000,伊藤樋門,3.830,20101130
6.400,100.000,北栄橋,14.130,20100830
6.600,56.000,吉岡樋管,5.700,20101130
7.400,200.000,二区幹線樋門,4.060,20101130
8.200,15.000,長内樋門,5.910,20101130
9.200,0.000,三ヶ月樋門,4.390,20101130
9.800,125.000,大豊橋,15.240,20100901
10.000,27.000,旧美一号樋門,5.460,20101130
10.600,123.000,末政樋門,4.400,20101130
10.800,30.000,美三号橋,14.080,20100901
11.400,32.000,旧美五号樋門,6.830,20101130
11.800,91.000,東橋,13.320,20100901
12.400,2.000,橋場樋門,5.710,20101130
12.600,102.000,上美唄水門,5.470,20100916
12.600,107.000,観月橋,15.630,20100916
13.000,60.000,戸田橋,12.450,20100916
13.800,31.000,旧美十号樋管,8.360,20101130
14.000,85.000,旧美十二号樋管,8.580,20101130
14.427,3.000,中小屋橋,13.200,20100917
