8101030250,石狩川水系,空知川,左岸
1.000,25.000,空知川水管橋,31.010,20101210
1.250,5.000,第一空知川橋梁,29.380,20101210
1.250,220.000,南空知太樋門,20.900,20101210
3.000,13.000,空知大橋,31.210,20101210
3.500,0.000,滝川公園樋門,25.890,20101210
3.500,155.000,新空知大橋,37.500,20101210
4.250,239.000,空知川取水管橋,38.030,20101210
4.750,95.000,富平樋門,28.390,20101210
5.750,75.000,下赤平樋門,28.890,20101210
6.500,135.000,空知川橋,40.940,20101210
9.500,110.000,住吉一号樋門,33.480,20101111
10.250,208.000,住吉二号樋門,35.350,20101111
12.000,82.000,新成大橋,44.430,20101111
13.000,200.000,北海頭首工樋門,37.800,20101111
13.000,219.000,北海頭首工,36.000,20101111
14.000,143.000,赤平水管橋,51.920,20101111
14.250,55.000,第三空知川橋梁,48.710,20101111
16.250,0.000,豊橋,50.520,20101111
17.250,122.000,赤平橋下流,51.360,20101111
17.250,135.000,赤平橋上流,49.880,20101111
17.500,115.000,泉町樋門,43.040,20101111
17.750,163.000,錦町樋門,43.940,20101111
18.000,187.000,虹のかけ橋,55.600,20101111
23.250,165.000,百戸橋,60.420,20101111
27.500,26.000,平班橋,69.750,20101111
