8101030250,石狩川水系,空知川,右岸
1.250,17.000,空知川水管橋,31.020,20101210
1.500,88.000,第一空知川橋梁,29.370,20101210
1.500,238.000,滝川東町樋門,24.080,20101210
2.500,259.000,滝川市街一号樋門,23.890,20101210
2.750,145.000,空知大橋,31.140,20101210
3.250,35.000,滝川市街二号樋門,25.190,20101210
3.750,113.000,新空知大橋,32.880,20101210
3.750,177.000,滝川市街三号樋門,26.910,20101210
4.250,227.000,滝川市街四号樋門,28.210,20101210
5.750,27.000,小野川樋門,28.370,20101210
6.750,43.000,空知川橋,44.250,20101210
7.500,174.000,東滝川一号樋門,31.290,20101210
9.000,66.000,東滝川二号樋門,33.740,20101111
10.750,235.000,幌倉揚水機場,31.720,20101111
12.000,35.000,新成大橋,44.430,20101111
13.000,205.000,北海頭首工,37.700,20101111
14.000,186.000,赤平水管橋,51.900,20101111
14.250,30.000,第三空知川橋梁,48.610,20101111
16.000,248.000,豊橋下流樋管,43.960,20101111
16.250,0.000,豊橋,50.440,20101111
16.250,67.000,豊橋上流樋管,43.620,20101111
17.000,54.000,文京樋管,44.340,20101111
17.250,117.000,赤平橋下流,51.350,20101111
17.250,130.000,赤平橋上流,49.800,20101111
17.250,187.000,赤平樋門,42.850,20101111
18.000,233.000,虹のかけ橋,64.500,20101111
23.250,173.000,百戸橋,60.400,20101111
27.500,10.000,平班橋,69.430,20101111
