8101030250,石狩川水系,空知川,左岸
65.200,160.000,富良野大橋,166.300,20171113
65.400,69.000,下御料排水樋門,159.450,20171018
66.400,126.000,水車川排水樋門,161.880,20171018
67.000,67.000,第四空知川橋梁,170.170,20171109
67.200,101.000,学田排水樋門,164.270,20171018
67.600,157.000,北二線川排水樋門,163.850,20171018
68.000,123.000,新空知橋,171.310,20171109
69.200,65.000,下五区排水樋門,167.610,20171018
69.400,64.000,ふらの五条大橋,175.680,20171108
71.000,128.000,四線川排水樋門,171.470,20171018
73.000,22.000,村上排水樋門,177.580,20171018
74.000,33.000,八線川排水樋門,180.370,20171023
74.800,105.000,布部大橋,190.620,20171106
74.800,142.000,上五区排水樋門,185.130,20171017
76.800,143.000,第二空知川橋梁,197.020,20171106
