8101030250,石狩川水系,空知川,右岸
1.250,17.000,空知川水管橋,30.370,20181121
1.500,88.000,第一空知川橋梁,29.390,20181121
1.500,238.000,滝川東町樋門,24.120,20181031
2.500,259.000,滝川市街一号樋門,23.900,20181031
2.750,145.000,空知大橋,31.160,20181122
3.250,35.000,滝川市街二号樋門,25.200,20181031
3.750,113.000,新空知大橋,32.870,20181129
3.750,177.000,滝川市街三号樋門,26.930,20181031
4.250,227.000,滝川市街四号樋門,28.190,20181031
5.750,27.000,小野川樋門,28.380,20181031
6.750,43.000,空知川橋,44.230,20181109
7.500,174.000,東滝川一号樋門,31.300,20181109
9.000,66.000,東滝川二号樋門,33.740,20181112
10.750,235.000,幌倉揚水機場,31.750,20181113
12.000,35.000,新成大橋,44.420,20181102
13.000,205.000,北海頭首工,37.710,20181102
14.000,186.000,赤平水管橋,51.880,20181105
14.250,30.000,第三空知川橋梁,48.600,20181105
16.000,248.000,豊橋下流樋門,41.540,20181119
16.250,0.000,豊橋,50.480,20181106
16.250,72.000,豊橋上流樋門,42.040,20181119
17.250,117.000,赤平橋下流,51.360,20181022
17.250,187.000,赤平樋門,42.850,20181119
