8101030334,石狩川水系,雨竜川,左岸
14.200 ,138.000,千秋三号樋門,33.560,20130909
14.600,148.000,千秋四号樋門,33.860,20130909
14.800,143.000,八丁目頭首工,32.510,20131125
16.600,117.000,秩父別基線樋門,36.390,20130909
17.800,142.000,筑紫橋,43.960,20131120
17.800,184.000,秩父別二条樋門,39.390,20130909
18.800,48.000,秩父別三条樋門,35.900,20130909
19.200,160.000,秩父別四条樋門,38.550,20130909
20.000,70.000,秩父別五条樋門,39.090,20130909
21.400,165.000,秩父別六条樋門,40.590,20130909
21.600,139.000,北空知広域水道雨竜川水管橋,52.580,20131119
21.800,95.000,達布橋,48.630,20131119
22.800,90.000,秩父別七条樋門,43.170,20130909
24.200,36.000,雨竜川橋(高速）,56.210,20131118
24.200,173.000,沼田大橋下流,50.880,20131118
24.200,188.000,沼田大橋上流,50.860,20131118
24.400,20.000,秩父別三丁目樋管,45.900,20130909
24.400,49.000,沼田第二頭首工,43.320,20131116
24.400,75.000,雨竜川橋梁,51.070,20131118
26.200,49.000,穂栄橋,52.860,20131116
27.600,34.000,雨竜川水管橋,59.320,20131116
30.600,24.000,滝の上頭首工,51.460,20131115
30.600,60.000,吊橋,59.570,20131115
31.400,130.000,多度志川一号樋門,53.450,20130909
32.600,168.000,竜水橋,61.520,20131114
34.800,0.000,東栄橋,63.300,20131114
39.400,136.000,栄橋,70.230,20131112
