8101030334,石狩川水系,雨竜川,右岸
15.000,38.000,八丁目頭首工,34.380,20131125
15.800,120.000,明星樋門,36.270,20130909
16.200,87.000,和二号樋門,37.360,20130909
17.000,8.000,和三号樋門,35.690,20130909
17.800,66.000,筑紫橋,44.190,20131120
19.000,150.000,北竜樋門,38.350,20130909
21.000,208.000,沼田第一号樋門,40.660,20130909
21.600,154.000,北空知広域水道雨竜川水管橋,52.840,20131119
21.800,208.000,達布橋,48.960,20131119
22.000,55.000,沼田達布樋門,40.720,20130909
23.400,220.000,沼田第二号樋門,43.700,20130909
24.000,100.000,雨竜川橋(高速）,57.150,20131118
24.200,149.000,沼田大橋下流,51.370,20131118
24.200,164.000,沼田大橋上流,50.940,20131118
24.400,75.000,沼田第二頭首工,42.960,20131116
24.400,135.000,雨竜川橋梁,51.120,20131118
26.200,78.000,穂栄橋,53.050,20131116
27.600,118.000,雨竜川水管橋,59.140,20131116
30.600,175.000,滝の上頭首工,53.980,20131115
30.600,228.000,吊橋,59.620,20131115
32.600,172.000,竜水橋,61.590,20131114
34.800,0.000,東栄橋,63.310,20131114
39.400,157.000,栄橋,70.220,20131112
