8101030335,石狩川水系,大鳳川,左岸
-3.000 ,53.000 ,黄金橋,38.380 ,20131128 
-2.800 ,173.000 ,黄金橋上流樋門,31.040 ,20131128 
-1.800 ,151.000 ,下芽生樋門,31.330 ,20131128 
-1.000 ,27.000 ,沿岸橋,38.360 ,20131128 
-0.400 ,161.000 ,中央橋,38.630 ,20131128 
-0.200 ,23.000 ,大曲樋門,30.520 ,20131128 
2.000 ,121.000 ,大鳳橋,38.310 ,20131128 
2.400 ,102.000 ,前林樋門,33.020 ,20131128 
2.800 ,164.000 ,上田樋門,33.250 ,20131128 
3.800 ,40.000 ,小藤サイフォン,32.880 ,20131128 
3.800 ,143.000 ,弁天橋,40.210 ,20131128 
4.200 ,70.000 ,下二号樋門,34.000 ,20131128 
5.000 ,180.000 ,下四号樋門,34.440 ,20131128 
6.000 ,175.000 ,新千代橋,39.810 ,20131128 
6.200 ,80.000 ,新千代樋門,34.350 ,20131128 
7.000 ,149.000 ,五号線樋門,35.330 ,20131128 
7.600 ,169.000 ,鳳星橋,40.310 ,20131128 
8.000 ,30.000 ,大鳳川橋,44.900 ,20131128 
8.800 ,22.000 ,馳樋門,37.500 ,20131128 
9.000 ,178.000 ,八号線橋,42.630 ,20131128 
10.000 ,3.000 ,山四線橋,43.300 ,20131128 
10.800 ,35.000 ,桜二号橋,44.720 ,20131128 
11.000 ,152.000 ,留萌本線橋,46.850 ,20131128
