8101030335,石狩川水系,大鳳川,右岸
-3.000 ,22.000 ,黄金橋,40.230 ,20131128 
-1.000 ,30.000 ,沿岸橋,38.330 ,20131128 
-4.000 ,152.000 ,中央橋,38.410 ,20131128 
-2.000 ,49.000 ,池田樋門,32.840 ,20131128 
2.000 ,144.000 ,大鳳橋,38.490 ,20131128 
2.600 ,85.000 ,六丁目半樋門,32.520 ,20131128 
3.800 ,37.000 ,小藤サイフォン,32.880 ,20131128 
3.800 ,60.000 ,六丁目樋門,32.880 ,20131128 
3.800 ,159.000 ,弁天橋,40.210 ,20131128 
4.600 ,13.000 ,四丁目樋門,33.680 ,20131128 
5.200 ,72.000 ,三丁目樋門,34.120 ,20131128 
5.800 ,4.000 ,大阪樋門,33.520 ,20131128 
6.000 ,195.000 ,新千代橋,39.850 ,20131128 
6.200 ,41.000 ,新千代第一樋門,34.670 ,20131128 
7.200 ,55.000 ,畑山樋門,35.830 ,20131128 
7.600 ,154.000 ,鳳星橋,40.290 ,20131128 
8.000 ,44.000 ,大鳳川橋,45.050 ,20131128 
8.000 ,107.000 ,イスカ川樋門,35.740 ,20131128 
8.800 ,217.000 ,一番通り樋門,37.870 ,20131128 
9.000 ,122.000 ,八号線橋,42.630 ,20131128 
9.200 ,218.000 ,野原樋門,38.910 ,20131128 
9.600 ,177.000 ,柳川樋門,39.430 ,20131128 
10.000 ,21.000 ,山四線橋,43.260 ,20131128 
10.800 ,25.000 ,桜二号橋,44.940 ,20131128 
11.000 ,151.000 ,留萌本線橋,46.860 ,20131128
