8101030001,êŒéÎêÏêÖån,êŒéÎêÏ,,,,,,
153.2,197,98.704,100.812,105.66,,94.86,96.33,20170324
153.4,168,103.892,103.892,104.14,104.21,94.1,95.64,20170324
153.6,178,104.119,104.09,104.36,104.51,94.02,96.15,20170324
153.8,217,104.328,104.276,104.66,104.68,95.15,96.28,20170324
154,212,104.668,104.6,105.04,104.96,95.19,96.95,20170324
154.2,253,105.045,104.873,105.53,105.34,94.84,97.73,20170324
154.4,178,105.252,105.116,105.9,105.51,95.6,97.84,20170324
154.6,199,105.494,105.332,106.04,105.78,96.54,97.85,20170324
154.8,239,105.766,105.752,106.31,106.16,96.46,98.84,20170324
155,175,102.091,105.993,107.15,106.21,96.72,99.09,20170324
155.2,220,103.553,106.729,106.79,107.27,97.73,99.23,20170324
