8101030001,êŒéÎêÏêÖån,êŒéÎêÏ,,,,,,
162.4,223,127.377,123.615,127.43,127.82,114.39,117.88,20220217
162.6,209,128.262,128.485,128.25,128.54,115.58,119.56,20220217
162.8,201,128.932,129.103,128.88,129.22,116.36,120.25,20220217
163,194,129.447,129.16,129.9,131.55,116.82,119.94,20220217
163.2,195,129.888,130.124,130.43,130.21,118.14,120.77,20220217
163.4,186,126.706,130.705,131.14,130.86,118.62,121.61,20220217
163.6,212,127.012,131.228,131.78,131.23,119.73,122.1,20220217
163.8,199,127.734,132.248,132.31,132.25,120.15,122.49,20220217
164,211,132.893,132.721,133.02,132.82,119.07,123.06,20220217
164.2,185,133.496,133.407,133.62,133.58,121.15,123.87,20220217
164.4,218,134.355,131.443,134.82,134.34,122.64,124.5,20220217
164.6,174,135.009,132.443,135.49,,122.33,125.25,20220217
