（様式）,,,,,,,,,,,,,,,
縦断測量成果整理表,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,事務所名,旭川開発建設部,,
,,,,,,,,,,,,河川番号,8101030001,,
,,,,,,,,,,,,水系名,石狩川水系,,
,,,,,,,,,,,,河川名,石狩川,,
,,,,,,,,,,,,,,,
距離杭諸元,,,,,縦断成果,,,,計画諸量,,,,,,
距離標,流心区間距離,流心区間追加距離,左岸距離標追加距離,右岸距離標追加距離,距離標高,,堤防高さ,,計画河床高さ,計画高水敷高,計画高水位高,計画築堤高,計画河床勾配,計画高水勾配,計画粗度
No,m,m,m,m,左岸,右岸,左岸,右岸,m,m,m,m,,,
167.6,220,"28,726","1,616","1,659",146.41,146.242,146.17,146.31,138.55,141.55,144.55,146.05,234,234,0.035
167.8,197,"28,923","1,810","1,862",146.918,146.897,146.88,147.33,139.39,142.39,145.39,146.89,234,234,0.035
168,186,"29,109","1,992","2,058",147.298,147.851,147.9,148.19,140.19,143.19,146.19,147.69,234,234,0.035
168.2,227,"29,336","2,189","2,328",148.835,148.751,148.7,149.03,141.16,144.16,147.16,148.66,234,234,0.04
168.4,202,"29,538","2,389","2,529",147.171,149.764,149.71,149.88,142.03,145.03,148.03,149.53,234,234,0.04
168.6,194,"29,732","2,635","2,677",147.959,147.609,150.7,150.49,142.86,145.86,148.86,150.36,234,234,0.04
168.8,168,"29,900","2,803","2,846",151.126,151.791,151.28,151.58,143.58,146.58,149.58,151.08,234,234,0.04
