8.E+09,êŒéÎêÏêÖån,êŒéÎêÏ,,,,,,
169,221,152.247,152.934,152.35,152.98,143.14,145.26,20180118
169.2,210,152.972,154.269,153.41,154.54,145.35,146.04,20180118
169.4,174,150.883,155.572,153.95,155.36,146.14,147.44,20180118
169.6,210,152.133,155.826,154.81,155.51,147,148.3,20180118
169.8,196,153.441,152.828,155.61,156.44,147.58,149.35,20180118
170,198,156.862,153.269,156.61,156.67,148.11,150.09,20180118
170.2,200,157.485,154.476,157.48,157.32,147.78,150.8,20180118
170.4,212,157.951,156.137,158.36,158.96,150.26,151.34,20180118
170.6,220,158.167,159.192,159.03,159.19,151.12,152.57,20180118
170.8,210,157.749,160.34,160.13,160.08,150.92,153.43,20180118
171,172,160.393,160.605,160.84,161,152.5,154.05,20180118
171.2,196,158.454,162.28,161.74,162.03,153.26,154.67,20180118
171.4,207,159.042,163.145,162.83,162.89,154.57,155.75,20180118
171.6,201,161.04,161.578,163.47,163.78,155.26,156.37,20180118
171.8,196,164.445,165.045,164.68,164.64,154.56,157.76,20180118
172,188,165.459,161.794,165.69,165.04,156.1,158.43,20180118
172.2,192,165.495,164.983,166.69,166.45,157.06,158.85,20180118
172.4,205,164.213,167.039,167.04,167.18,157.56,159.87,20180118
172.6,192,166.767,168.116,167.54,168.27,157.96,160.84,20180118
172.8,225,167.448,169.376,168.91,169.22,160.5,161.62,20180118
173,195,168.179,169.621,169.86,169.76,160.16,162.72,20180118
173.2,203,168.823,170.763,170.94,170.63,161.51,162.93,20180118
173.4,214,169.43,169.487,171.73,171.79,162.63,164.16,20180118
173.6,170,171.03,172.418,172.41,172.62,163.67,166.25,20180118
173.8,235,170.856,173.745,173.48,173.83,164.82,166.19,20180118
174,227,172.338,171.965,174.59,174.85,165.67,167.24,20180118
174.2,189,173.74,176.071,175.47,176.07,167.11,168.32,20180118
174.4,204,174.297,175.933,176.53,176.7,167.05,169.34,20180118
174.6,187,176.734,173.575,177.31,-,168.06,169.73,20180118
174.8,207,177.619,175.472,178.32,-,169.45,171.29,20180118
175,197,178.624,174.527,179.16,179.02,170.03,172.36,20180118
