（様式）,,,,,,,,,,,,,,,
縦断測量成果整理表,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,事務所名,旭川開発建設部,,
,,,,,,,,,,,,河川番号,8101030001,,
,,,,,,,,,,,,水系名,石狩川水系,,
,,,,,,,,,,,,河川名,石狩川,,
,,,,,,,,,,,,,,,
距離杭諸元,,,,,縦断成果,,,,計画諸量,,,,,,
距離標,流心区間距離,流心区間追加距離,左岸距離標追加距離,右岸距離標追加距離,距離標高,,堤防高さ,,計画河床高さ,計画高水敷高,計画高水位高,計画築堤高,計画河床勾配,計画高水勾配,計画粗度
No,m,m,m,m,左岸,右岸,左岸,右岸,m,m,m,m,,,
175.2,0,0,0,0,178.665,179.412,179.99,180.1,172.23,175.23,178.23,179.73,221,221,0.04
175.4,201,201,189,216,179.82,181.153,180.93,180.95,173.14,176.14,179.14,180.64,221,221,0.04
175.6,233,434,388,475,181.06,178.025,181.81,181.97,174.19,177.19,180.19,181.69,221,221,0.04
175.8,168,602,557,644,181.176,183.178,182.56,182.68,174.95,177.95,180.95,182.45,221,221,0.04
176,213,815,772,857,182.412,183.151,183.62,183.82,176,179,182,183.5,203,203,0.04
176.2,214,"1,029",961,"1,089",184.126,184.232,185.15,184.94,177.06,180.06,183.06,184.56,203,203,0.04
176.4,238,"1,267","1,212","1,339",185.256,184.807,186.03,186,178.23,181.23,184.23,185.73,203,203,0.04
176.6,205,"1,472","1,371","1,589",185.213,185.759,186.98,187.2,179.25,182.25,185.25,186.75,203,203,0.04
176.8,172,"1,644","1,540","1,766",187.276,184.055,187.91,187.58,180.1,183.1,186.1,187.6,203,203,0.04
177,170,"1,814","1,682","1,962",186.83,187.335,188.63,188.65,180.93,183.93,186.93,188.43,203,203,0.04
177.2,215,"2,029","1,891","2,183",189.126,189.215,189.64,189.43,182,185,188,189.5,203,203,0.04
177.4,200,"2,229","2,075","2,396",190.405,189.87,190.55,191.3,182.98,185.98,188.98,190.48,203,203,0.04
