8101030409,êŒéÎêÏêÖån,íâï êÏ,,,,,,
0.600,176.000,100.830,102.083,106.140,106.230,96.330,98.770,20191129
0.800,244.000,101.042,102.339,106.370,106.700,97.340,99.300,20191129
1.000,199.000,101.266,106.413,106.710,106.210,98.210,99.220,20191129
1.200,198.000,101.914,102.751,107.030,106.600,98.740,99.790,20191129
1.400,192.000,102.618,103.889,107.470,106.900,98.800,100.470,20191129
1.600,191.000,103.724,103.655,107.680,107.170,99.220,100.850,20191129
1.800,215.000,103.689,104.293,107.970,107.940,98.890,101.490,20191129
2.000,203.000,104.258,104.545,108.230,108.550,99.380,100.490,20191129
2.200,149.000,104.305,105.850,108.690,108.780,99.340,102.160,20191129
2.400,186.000,105.064,105.424,109.070,109.090,101.200,102.750,20191129
2.600,254.000,106.036,106.528,109.680,109.880,102.500,103.560,20191129
2.800,206.000,107.776,107.003,110.280,110.460,103.070,104.280,20191129
3.000,190.000,108.536,106.861,110.800,111.640,103.700,104.860,20191129
3.200,190.000,108.696,111.961,111.570,111.800,104.190,105.450,20191129
3.400,252.000,109.217,112.178,112.430,112.660,105.090,106.450,20191129
