8101030409,êŒéÎêÏêÖån,íâï êÏ,,,,,,,
25.200,214.000,290.313,289.486,,,286.450,287.820,20190218,
25.400,200.000,292.486,295.927,,,287.800,289.840,20190218,
25.600,198.000,294.978,298.083,,,289.630,292.080,20190218,
25.800,198.000,297.534,302.236,,,291.000,294.140,20190218,
26.000,236.000,300.847,305.277,,,294.940,296.200,20190218,
26.200,140.000,301.850,306.186,,,295.550,298.370,20190218,
26.400,215.000,304.489,309.102,,,302.890,304.590,20190218,
26.600,179.000,307.224,310.644,,,304.800,305.680,20190218,
26.800,199.000,309.104,315.573,,,306.070,307.000,20190218,
27.000,184.000,311.465,314.528,,,307.590,309.270,20190218,
27.200,165.000,313.638,317.697,,,309.260,310.480,20190218,
27.400,229.000,316.162,320.110,,,311.880,313.800,20190218,
27.600,226.000,318.831,322.540,,,315.060,316.810,20190218,
27.800,222.000,321.416,324.756,,,317.940,319.280,20190218,
28.000,203.000,324.163,327.749,,,320.010,321.580,20190218,
28.200,193.000,326.359,331.815,,,322.440,323.130,20190218,
28.400,207.000,329.436,332.975,,,323.990,325.910,20190218,
28.600,185.000,331.201,335.277,,,327.580,328.740,20190218,
28.800,194.000,333.390,337.719,,,328.920,331.060,20190218,
29.000,204.000,336.750,341.297,,,331.700,333.900,20190218,
29.200,223.000,339.526,344.002,,,334.610,336.220,20190218,
29.400,167.000,341.772,345.244,,,336.450,338.940,20190218,
29.600,205.000,345.564,348.753,,,339.160,341.040,20190218,
29.800,183.000,347.084,349.488,,,341.610,343.600,20190218,
