8101030409,êŒéÎêÏêÖån,íâï êÏ,,,,,,
3.6,184,113.094,110.452,113.05,,106.21,107.16,20130205
3.8,204,110.786,111.42,113.82,,106.73,108.16,20130205
4,224,110.707,115.864,116.44,115.8,107.21,109.02,20130205
4.2,184,113.165,115.834,115.56,115.5,108.57,109.65,20130205
4.4,156,114.543,113.163,116.34,116.18,109.68,110.47,20130205
4.6,200,117.553,117.326,117.63,117.01,110.32,111.21,20130205
4.8,246,119.402,119.534,119.76,119.64,111.4,115.34,20130205
5,204,117.419,118.007,,120.09,111.97,113.36,20130205
5.2,215,118.036,118.39,,120.94,112.41,114.29,20130205
5.4,200,119.134,119.434,,121.92,113.98,115.3,20130205
5.6,177,120.015,120.779,,122.77,114.72,116.25,20130205
5.8,234,121.122,121.661,,123.75,116.12,117.51,20130205
6,208,121.868,123.254,,124.91,116.49,118.15,20130205
6.2,193,122.443,124.398,,128.08,117.69,119.17,20130205
6.4,187,123.557,125.057,126.65,126.68,118.85,120.02,20130205
6.6,197,124.593,123.501,127.67,128.06,119.53,121.12,20130205
6.8,202,125.846,127.411,128.72,129.19,120.99,122.41,20130205
7,185,126.862,127.979,129.97,129.74,121.48,122.46,20130205
7.2,211,128.336,128.525,132.2,131.21,123.07,123.7,20130205
7.4,193,131.55,129.646,132.53,132.06,123.38,125.01,20130205
7.6,200,131.826,130.411,133.91,133.13,124.98,126.15,20130205
7.8,200,132.118,131.312,134.76,134.39,125.5,127.56,20130205
8,188,133.506,132.827,136.05,135.58,126.59,128.57,20130205
8.2,210,134.6,134.211,139.68,136.75,128.29,129.3,20130205
8.4,181,135.405,137.918,138.37,138.05,128.86,130.84,20130205
8.6,199,137.181,138.13,139.33,139.3,130.1,131.91,20130205
8.8,203,137.676,139.268,140.82,140.32,131.13,132.91,20130205
9,237,139.214,138.518,141.65,141.88,131.77,134.02,20130205
9.2,173,140.167,139.553,142.86,142.76,132.96,134.74,20130205
9.4,205,146.107,140.631,146.35,144.93,135.38,135.42,20130205
9.6,192,141.671,141.79,145.51,145.32,137.4,139.29,20130205
9.8,207,142.44,147.046,146.69,146.66,138.75,139.91,20130205
10,204,143.817,144.018,149.61,148.46,140.59,141.16,20130205
10.2,203,145.839,144.783,149.11,148.43,141.09,142.07,20130205
10.4,210,147.031,146.575,150.38,149.83,142.21,143.35,20130205
10.6,179,148.687,147.456,151.18,150.61,143.42,144.59,20130205
10.8,198,149.012,150.135,151.99,151.78,144.44,145.67,20130205
11,209,150.755,152.283,153.37,153.39,146.3,147.09,20130205
11.2,205,152.032,153.372,155.04,154.88,146.43,148.1,20130205
11.4,203,153.802,154.344,156.51,156.61,148.01,149.29,20130205
11.6,201,155.139,155.283,157.97,158.4,150.29,151.99,20130205
11.8,191,156.862,156.448,159.47,159.5,151.54,153.31,20130205
12,210,158.145,158.512,160.8,161.27,152.98,154.54,20130205
12.2,203,159.37,160.673,162.47,162.75,154.74,156,20130205
12.4,231,161.03,161.791,164.63,164.45,155.55,157.54,20130205
12.6,201,163.504,163.206,166.71,165.98,159.08,159.49,20130205
12.8,185,164.319,165.104,168.1,167.27,160.26,161.2,20130205
13,188,165.87,165.893,169.36,168.93,161.28,162.89,20130205
13.2,215,167.555,167.964,170.67,170.68,162.65,164.51,20130205
13.4,174,168.008,170.312,171.95,172.48,164.38,165.85,20130205
13.6,192,171.184,172.238,173.29,173.99,166.35,167.3,20130205
13.8,192,171.582,172.318,174.01,174.78,167.67,168.62,20130205
14,214,173.032,173.439,176.34,176.03,169.4,170.61,20130205
14.2,180,175.148,175.044,177.98,177.8,170.69,172.04,20130205
14.4,220,176.929,177.924,179.91,179.83,172.62,173.88,20130205
14.6,203,178.759,178.284,181.61,181.77,174.58,175.71,20130205
14.8,197,183.439,180.169,183.36,183.36,176.08,177.2,20130205
15,190,182.927,182.509,185.1,185.17,177.52,178.78,20130205
15.2,217,184.073,184.55,186.93,187.02,179.78,181.15,20130205
15.4,205,185.702,186.161,188.69,188.48,182.31,183.1,20130205
15.6,196,187.563,188.092,190.44,190.51,183.2,184.52,20130205
15.8,196,189.791,190.347,192.03,194.11,184.96,185.97,20130205
16,195,191.414,192.012,194.21,194.06,187.27,188.85,20130205
16.2,201,194.41,192.642,196.36,196.19,189.12,190.6,20130205
16.4,191,196.266,195.085,198.19,198.01,190.72,192.49,20130205
16.6,200,197.617,196.88,200.35,200.14,193.07,194.37,20130205
16.8,215,199.918,199.866,202.55,202.2,195.05,196.56,20130205
17,183,201.845,201.522,204.21,203.93,196.62,198.35,20130205
17.2,205,203.758,203.205,206.32,206.19,198.37,200.2,20130205
17.4,198,206.39,204.94,208.33,208.28,200.38,202.22,20130205
17.6,210,208.764,207.394,210.84,210.4,201.47,203.39,20130205
17.8,132,210.054,210.075,212.62,212.02,204.62,206.18,20130205
18,208,212.677,210.804,214.25,214.17,206.83,208.06,20130205
18.2,201,218.578,213.231,218.21,216.4,208.9,210.08,20130205
18.4,222,216.577,216.091,218.34,218.3,211.01,212.49,20130205
18.6,192,218.298,217.271,220.42,220.23,212.53,214.1,20130205
18.8,194,220.005,218.971,222.42,222.11,214.51,215.79,20130205
19,200,222.347,221.476,224.4,224.37,216.79,217.62,20130205
19.2,199,224.048,224.919,226.8,226.42,218.15,219.6,20130205
19.4,192,225.605,227.47,228.5,228.55,220.63,221.9,20130205
19.6,201,227.148,229.605,230.64,230.55,223.17,224.62,20130205
19.8,195,229.476,231.42,232.93,232.64,225.44,227.1,20130205
20,204,231.389,231.913,235.24,234.72,228.05,229.19,20130205
20.2,203,234.508,235.185,237.55,237.26,230.12,231.48,20130205
20.4,186,236.463,236.518,239.48,239.36,231.62,232.92,20130205
20.6,225,239.615,238.838,242.07,241.96,234.56,235.71,20130205
20.8,189,241.124,242.529,244.13,244,236.34,237.71,20130205
21,195,244.144,244.436,246.29,245.84,238.58,240.1,20130205
21.2,210,247.645,246.349,248.6,248.48,241.38,242.91,20130205
21.4,200,247.75,248.638,,250.7,243.75,244.74,20130205
21.6,190,248.524,249.779,,252.57,245.8,246.84,20130205
21.8,220,251.066,251.995,,255.18,248.54,248.95,20130205
22,230,253.849,254.79,,257.66,250.63,251.43,20130205
22.2,170,256.713,257.216,,259.39,252.11,252.89,20130205
22.4,168,257.75,257.974,,261.17,254.4,255.03,20130205
22.6,231,260.464,260.438,,263.81,256.93,257.72,20130205
22.8,193,264.96,263.109,,265.98,259.79,260.32,20130205
23,201,265.163,264.515,,268.2,261.52,261.96,20130205
23.2,198,266.769,266.298,,270.59,263.69,264.69,20130205
23.4,169,268.907,268.211,,272.58,265.8,266.74,20130205
23.6,231,271.468,271.37,,274.67,267.62,269.61,20130205
23.8,197,273.446,273.814,,277.08,268.9,271.36,20130205
24,196,275.853,276.184,,279.62,272.39,273.49,20130205
24.2,187,277.538,277.992,,281.55,274.28,274.99,20130205
24.4,245,279.616,280.147,284.33,284.2,277.23,278.47,20130205
