8101030410,êŒéÎêÏêÖån,î¸âlêÏ,,,,,,
17,198,161.337,161.3,,,159.76,160.41,20111220
17.2,212,162.69,162.46,,,160.88,161.55,20111220
17.4,192,163.106,164.026,,,160.98,162.07,20111220
17.6,201,165.697,167.612,,,162.79,163.59,20111220
17.8,195,166.522,165.418,,,163.49,164.2,20111220
18,196,166.268,167.271,,,164.45,165.35,20111220
18.2,239,167.358,167.893,,,165.5,166.31,20111220
18.4,195,169.195,169.061,,,166.54,167.15,20111220
18.6,189,168.813,169.318,,,167.47,168.39,20111220
18.8,204,169.789,169.346,,,167.18,168.19,20111220
19,197,170.802,171.028,,,169.08,169.59,20111220
19.2,200,172.162,171.784,,,169.13,169.9,20111220
19.4,199,171.741,173.224,,,170.2,171.22,20111220
19.6,211,174.017,173.317,,,171.55,172.12,20111220
19.8,202,175.846,174.473,,,171.88,173.06,20111220
20,205,175.209,175.442,,,173.27,173.76,20111220
20.2,187,177.623,176.166,,,173.66,174.81,20111220
20.4,179,176.884,176.744,,,174.33,175.05,20111220
20.6,225,178.246,176.443,,,175.17,175.62,20111220
20.8,204,178.423,177.733,,,175.57,176.28,20111220
21,193,179.207,178.167,,,176.68,177.22,20111220
21.2,202,179.256,178.784,,,177.19,178.01,20111220
21.4,202,181.952,179.602,,,178.06,178.76,20111220
21.6,202,182.536,180.686,,,178.76,179.36,20111220
21.8,188,182.137,181.21,,,179.41,179.95,20111220
22,216,182.969,182.838,,,180.61,181.4,20111220
22.2,197,186.164,183.766,,,180.4,182.19,20111220
22.4,210,184.257,184.394,,,181.89,182.72,20111220
22.6,202,184.486,184.501,,,182.65,183.61,20111220
22.8,203,186.238,185.126,,,183.97,184.49,20111220
23,200,186.355,186.216,,,184.37,185.51,20111220
23.2,220,188.329,188.058,,,185.61,187.05,20111220
23.4,195,190.382,189.052,,,186.44,187.54,20111220
23.6,202,190.241,189.468,,,187.41,188.27,20111220
23.8,203,191.488,190.038,,,187.98,189.01,20111220
24,198,193.277,191.129,,,189.2,190.35,20111220
24.2,199,193.616,192.118,,,190.31,190.86,20111220
24.4,206,193.452,194.487,,,191.13,191.87,20111220
24.6,192,195.388,194.16,,,192.44,193.06,20111220
24.8,210,198.31,196.185,,,194.03,194.47,20111220
25,196,199.843,196.687,,,194.07,196,20111220
25.2,204,198.181,197.355,,,195.74,196.67,20111220
25.4,195,200.155,199.015,,,196.48,197.19,20111220
25.6,197,199.234,200.084,,,197.35,198.21,20111220
25.8,203,200.348,200.898,,,197.93,199.07,20111220
26,194,203.545,200.788,,,199.05,199.7,20111220
26.2,197,205.892,202.495,,,200.23,201.41,20111220
26.4,205,203.631,204.231,,,201.27,201.79,20111220
26.6,198,204.963,204.404,,,202.08,202.52,20111220
26.8,200,204.998,206.129,,,203.04,203.88,20111220
27,202,205.711,204.96,,,203.54,204.08,20111220
27.2,202,206.242,207.784,,,204.13,205.27,20111220
27.4,211,207.634,206.914,,,203.26,206.28,20111220
27.6,189,207.864,208.75,,,205.78,206.63,20111220
27.8,210,209.245,210.387,,,207.55,208.41,20111220
28,197,210.69,212.08,,,207.8,209,20111220
28.2,202,211.682,212.089,,,209.44,210,20111220
28.4,313,213.05,214.58,,,211.04,211.59,20111220
28.6,238,214.269,213.71,,,211.48,212.75,20111220
28.8,205,215.95,216.33,,,213.44,214.22,20111220
29,273,218.561,217.586,,,215.08,215.64,20111220
29.2,186,218.379,218.494,,,215.89,216.5,20111220
29.4,227,218.484,218.723,,,216.83,217.12,20111220
29.6,118,220.537,220.091,,,217.65,218.5,20111220
29.8,142,218.93,219.475,,,217.98,218.55,20111220
30,219,222.256,222.067,,,219.32,220.02,20111220
30.2,212,223.61,223.228,,,220.23,220.8,20111220
30.4,266,222.694,223.769,,,220.89,221.82,20111220
30.6,253,225.271,224.403,,,222.85,223.57,20111220
30.8,196,225.147,225.342,,,223.04,223.63,20111220
