8101030410,êŒéÎêÏêÖån,î¸âlêÏ,,,,,,
31.000 ,192.000 ,228.423 ,228.083 ,,,224.650 ,225.610 ,20210113 
31.200 ,230.000 ,233.948 ,228.629 ,,232.890 ,226.250 ,227.410 ,20210113 
31.400 ,280.000 ,231.438 ,231.089 ,,234.830 ,228.020 ,228.920 ,20210113 
31.600 ,213.000 ,233.502 ,233.036 ,235.460 ,236.040 ,229.710 ,230.490 ,20210113 
31.800 ,181.000 ,236.711 ,234.299 ,,238.810 ,230.660 ,231.300 ,20210113 
32.000 ,194.000 ,235.289 ,236.199 ,239.060 ,238.890 ,232.250 ,232.870 ,20210113 
32.200 ,225.000 ,237.404 ,238.237 ,,240.360 ,233.490 ,234.180 ,20210113 
32.400 ,168.000 ,238.161 ,239.186 ,,241.590 ,234.270 ,235.650 ,20210113 
32.600 ,170.000 ,239.486 ,239.213 ,,242.790 ,236.130 ,236.860 ,20210113 
32.800 ,235.000 ,240.906 ,241.426 ,,244.720 ,237.550 ,238.590 ,20210113 
33.000 ,211.000 ,245.850 ,243.306 ,,246.690 ,239.560 ,240.530 ,20210113 
33.200 ,185.000 ,244.860 ,244.841 ,,248.300 ,240.910 ,241.650 ,20210113 
33.400 ,184.000 ,246.203 ,247.371 ,,249.850 ,242.290 ,243.010 ,20210113 
33.600 ,197.000 ,248.194 ,248.268 ,,251.450 ,243.470 ,244.740 ,20210113 
33.800 ,175.000 ,250.641 ,250.526 ,,253.100 ,245.250 ,246.150 ,20210113 
34.000 ,94.000 ,251.483 ,251.142 ,,253.970 ,245.840 ,246.930 ,20210113 
34.200 ,314.000 ,251.810 ,253.452 ,,256.210 ,248.810 ,249.680 ,20210113 
34.400 ,124.000 ,253.120 ,254.772 ,,257.370 ,248.960 ,249.840 ,20210113 
34.600 ,147.000 ,254.690 ,256.177 ,,259.130 ,250.390 ,251.880 ,20210113
34.800 ,303.000 ,257.151 ,257.294 ,,260.800 ,252.910 ,253.740 ,20210113
35.000 ,148.000 ,257.996 ,257.981 ,,262.040 ,254.760 ,255.570 ,20210113
35.200 ,220.000 ,260.231 ,265.214 ,,265.570 ,255.870 ,257.740 ,20210113
35.400 ,203.000 ,261.587 ,262.654 ,265.370 ,265.540 ,257.620 ,259.310 ,20210113
35.600 ,219.000 ,262.744 ,264.011 ,266.770 ,267.480 ,259.530 ,261.240 ,20210113
