8101030410,êŒéÎêÏêÖån,î¸âlêÏ,,,,,,
37.600 ,209.000 ,283.046 ,283.197 ,285.280 ,,277.920 ,279.930 ,20190218
37.800 ,212.000 ,285.365 ,285.127 ,287.480 ,,281.220 ,282.260 ,20190218
38.000 ,250.000 ,288.802 ,287.727 ,290.040 ,,284.340 ,285.460 ,20190218
38.200 ,188.000 ,290.377 ,290.108 ,291.960 ,,286.580 ,287.790 ,20190218
38.400 ,185.000 ,291.703 ,292.234 ,293.870 ,,289.020 ,290.160 ,20190218
38.600 ,181.000 ,294.337 ,293.921 ,295.900 ,,291.240 ,292.270 ,20190218
38.800 ,192.000 ,296.053 ,297.144 ,298.630 ,,293.590 ,294.850 ,20190218
39.000 ,190.000 ,298.821 ,298.892 ,300.860 ,,295.980 ,297.460 ,20190218
39.200 ,216.000 ,302.054 ,301.961 ,303.630 ,,298.050 ,299.940 ,20190218
39.400 ,183.000 ,304.049 ,304.456 ,306.120 ,,300.330 ,302.050 ,20190218
39.600 ,203.000 ,306.506 ,306.843 ,309.060 ,,303.460 ,304.690 ,20190218
39.800 ,210.000 ,311.007 ,310.054 ,311.370 ,,306.200 ,307.950 ,20190218
40.000 ,177.000 ,313.495 ,311.910 ,313.690 ,,309.490 ,310.100 ,20190218
40.200 ,206.000 ,316.295 ,314.929 ,316.560 ,,311.660 ,312.900 ,20190218
40.400 ,196.000 ,318.640 ,319.114 ,319.180 ,,314.030 ,315.150 ,20190218
40.600 ,205.000 ,321.596 ,322.384 ,323.030 ,,316.400 ,317.820 ,20190218
40.800 ,201.000 ,324.952 ,324.169 ,325.710 ,,319.640 ,321.270 ,20190218
41.000 ,200.000 ,328.650 ,327.487 ,329.150 ,,323.330 ,324.730 ,20190218
41.200 ,217.000 ,329.720 ,331.468 ,332.280 ,,325.550 ,328.490 ,20190218
41.400 ,192.000 ,333.862 ,334.054 ,335.060 ,,329.090 ,330.940 ,20190218
41.600 ,189.000 ,336.683 ,336.694 ,337.970 ,,332.760 ,334.340 ,20190218
41.800 ,227.000 ,340.547 ,340.767 ,341.750 ,,336.510 ,337.550 ,20190218
42.000 ,189.000 ,344.091 ,342.677 ,345.560 ,,339.270 ,340.820 ,20190218
42.200 ,191.000 ,347.200 ,347.509 ,348.440 ,,343.250 ,343.990 ,20190218
42.400 ,182.000 ,349.344 ,350.535 ,351.470 ,,344.870 ,346.990 ,20190218
42.600 ,209.000 ,354.160 ,353.653 ,355.090 ,,349.620 ,350.920 ,20190218
42.800 ,194.000 ,357.146 ,356.013 ,358.350 ,,351.930 ,353.700 ,20190218
43.000 ,214.000 ,361.469 ,359.779 ,361.700 ,,356.540 ,357.920 ,20190218
43.200 ,254.000 ,365.376 ,365.889 ,366.040 ,,361.260 ,362.670 ,20190218
43.400 ,191.000 ,368.732 ,370.028 ,368.680 ,,364.730 ,366.180 ,20190218
43.600 ,174.000 ,371.916 ,370.835 ,372.780 ,,366.520 ,367.860 ,20190218
43.800 ,177.000 ,375.545 ,372.872 ,,,369.320 ,370.550 ,20190218
44.000 ,177.000 ,379.229 ,378.417 ,,,372.290 ,373.850 ,20190218
