8101030442,êŒéÎêÏêÖån,ãçéÈï êÏ,,,,,,
7.200 ,211.000 ,124.769 ,126.551 ,128.590 ,128.540 ,120.700 ,122.220 ,20150911
7.400 ,217.000 ,125.872 ,126.474 ,132.000 ,129.070 ,121.760 ,122.930 ,20150911
7.600 ,212.000 ,127.378 ,126.753 ,129.710 ,129.630 ,122.940 ,123.310 ,20150911
7.800 ,213.000 ,127.710 ,126.655 ,130.170 ,130.130 ,122.920 ,123.860 ,20150911
8.000 ,200.000 ,128.465 ,128.093 ,130.760 ,130.690 ,122.520 ,124.200 ,20150911
8.200 ,185.000 ,128.734 ,128.177 ,131.120 ,131.170 ,123.740 ,124.430 ,20150911
8.400 ,192.000 ,129.720 ,128.631 ,131.660 ,131.660 ,124.310 ,124.600 ,20150911
8.600 ,189.000 ,129.235 ,130.422 ,133.990 ,133.480 ,124.370 ,125.220 ,20150911
8.800 ,164.000 ,129.647 ,130.229 ,132.590 ,132.620 ,124.470 ,125.460 ,20150911
9.000 ,209.000 ,130.467 ,129.604 ,133.250 ,133.160 ,125.050 ,125.640 ,20150911
9.200 ,208.000 ,130.647 ,130.815 ,133.730 ,133.720 ,125.900 ,126.490 ,20150911
9.400 ,214.000 ,131.418 ,130.778 ,134.190 ,134.210 ,126.230 ,126.580 ,20150911
9.600 ,295.000 ,131.595 ,132.481 ,135.010 ,135.020 ,126.570 ,127.390 ,20150911
9.800 ,270.000 ,135.865 ,133.576 ,135.390 ,135.510 ,128.380 ,129.080 ,20150911
10.000 ,234.000 ,136.579 ,134.622 ,136.360 ,136.230 ,129.370 ,129.800 ,20150911
10.200 ,240.000 ,134.922 ,134.953 ,136.840 ,136.910 ,129.920 ,130.470 ,20150911
10.400 ,202.000 ,135.181 ,135.796 ,137.160 ,137.340 ,130.410 ,130.920 ,20150911
10.600 ,209.000 ,135.717 ,136.713 ,138.190 ,137.970 ,130.680 ,131.100 ,20150911
10.800 ,162.000 ,135.334 ,136.971 ,138.410 ,138.410 ,131.230 ,131.790 ,20150911
11.000 ,203.000 ,140.382 ,138.241 ,139.550 ,140.070 ,132.800 ,133.530 ,20150911
11.200 ,225.000 ,137.304 ,138.152 ,139.720 ,140.040 ,132.960 ,133.870 ,20150911
11.400 ,187.000 ,137.237 ,138.552 ,139.900 ,139.800 ,133.670 ,134.350 ,20150911
11.600 ,185.000 ,137.652 ,138.655 ,140.150 ,140.270 ,134.030 ,134.670 ,20150911
11.800 ,225.000 ,137.010 ,140.637 ,141.980 ,140.650 ,134.570 ,135.080 ,20150911
12.000 ,152.000 ,141.161 ,142.113 ,140.860 ,142.240 ,134.750 ,135.270 ,20150911
12.200 ,98.000 ,141.102 ,140.947 ,140.990 ,141.020 ,134.900 ,135.390 ,20150911
12.400 ,192.000 ,138.635 ,139.188 ,140.220 ,141.300 ,135.280 ,135.860 ,20150911
12.600 ,150.000 ,138.989 ,139.423 ,140.640 ,141.730 ,135.010 ,136.080 ,20150911
12.800 ,189.000 ,140.003 ,139.670 ,141.470 ,142.050 ,136.040 ,136.640 ,20150911
13.000 ,217.000 ,145.457 ,140.413 ,,142.450 ,136.000 ,136.940 ,20150911
13.200 ,275.000 ,144.146 ,141.557 ,142.180 ,142.960 ,136.300 ,137.540 ,20150911
13.400 ,172.000 ,150.356 ,141.499 ,143.230 ,143.250 ,137.270 ,137.920 ,20150911
13.600 ,159.000 ,140.822 ,141.237 ,143.550 ,143.500 ,136.790 ,138.330 ,20150911
13.800 ,225.000 ,142.254 ,141.582 ,143.910 ,143.910 ,136.850 ,138.560 ,20150911
14.000 ,239.000 ,142.458 ,141.783 ,144.400 ,144.380 ,138.050 ,139.420 ,20150911
